Index,Clue,Solution,gemma_predicted,Spaced_Solution
136586,Policy Americans go wild for,reaganomics,anagram,reaganomics
135668,"Middle Eastern nirvana in it's elapsed, somewhat in recession",palestinian,hidden word,palestinian
134856,Aristocrat to protest over troublesome noises,marchioness,assemblage,marchioness
61172,Medical professional has the assailant on film,psychotherapist,assemblage,psychotherapist
91107,"Officer conveying Her Majesty, one behaving as conductor would?",ohmic,container,ohmic
1860,Good book for figures,numbers,double definition,numbers
84808,Performed ditty about lady's teeth,gnashers,assemblage,gnashers
40201,States small change in school is doubtful,suspect,assemblage,suspect
1349,"Interior decoration, pretty as can be",tapestry,anagram,tapestry
550,The suffering a preacher tries to hide,ache,hidden word,ache
51643,Noisy reveller for whom dawn herald gets one for nothing,roister,assemblage,roister
59685,Spider that reaps?,harvester,double definition,harvester
100920,Tropical novelist and playwright,miller,double definition,miller
117791,"Scrap with new head, French politician",giscard,assemblage,giscard
76291,Achievement of one who doesn't miss a trick,grandslam,double definition,grand slam
128393,Want to go after a fifty-pound kiwi,allblack,assemblage,all black
123979,Where bloomers are made like the fourth and sixth incarnations of Dr Who?,bakery,double definition,bakery
118241,"Driver's last seen going into roundabout, causing a lot of pain",torturous,container,torturous
139493,Part of organ not quite audible around old church,cochlea,assemblage,cochlea
88081,A coal tit changing gear,tailcoat,anagram,tail coat
96274,Is inquisitive about the tank and soldiers,privates,container,privates
139002,Powerful Catholic overwhelmed by weakness,forcible,container,forcible
10029,A poster to show where the big ships come,seaport,double definition,seaport
66498,Study shows doctor is English,treatise,assemblage,treatise
96821,No little girl reported to have special knowledge,gnosis,assemblage,gnosis
13166,French stop over in getting the lie of the land,terrain,assemblage,terrain
53457,Go through battle without army suffering reverse,comb,assemblage,comb
120056,Alternative name held by island archipelago,orkney,assemblage,orkney
62264,Group outlets retained by partner,westlife,container,westlife
64999,Ada being nasty? Just having a laugh,badinage,anagram,badinage
92234,Pistol faced with Big Bertha would be so overwhelmed?,outgunned,container,outgunned
140603,Lead singer's notes?,heavymetalmusic,double definition,heavy metal music
29313,Wedge-shaped block holds Catholic University together - that's definite!,clearcut,container,clear cut
116613,Hormone replacement for bird,moorhen,anagram,moorhen
34881,Example of man in nice predicament,instance,container,instance
120826,"""Pass him, anyway"" - how accidents result",mishaps,anagram,mishaps
120636,"Concisely written ultimately, French produce cracking poem",inbrief,anagram,in brief
55623,"Uproar from black and white endangered instrument, might you say?",pandemonium,assemblage,pandemonium
80700,Spiel includes point in sprinkling chips with salt,salespitch,anagram,sales pitch
52602,Fight with nurse after party,contend,assemblage,contend
130745,"Source of prosciutto supplied by mail, say?",parma,assemblage,parma
3559,A steep fluctuation in old currency,peseta,anagram,peseta
83573,Not the genuine Robin? That's a bit of a relief,falsehood,assemblage,falsehood
25653,Ask to hug companion seen at the ballet,entrechat,container,entrechat
61469,Porridge makes good person feel sick,stretch,assemblage,stretch
109295,Faction is first-rate without the French,sect,container,sect
7794,One accountant has daughter pinched by another - a chirpy creature,cicada,container,cicada
108146,Argue about holding stake in contract,guarantee,anagram,guarantee
30095,New length lines that material,nylon,assemblage,nylon
1313,Woman in credit with a selection of wine,cellar,container,cellar
77029,"Stone from a ring, replaced before the centre's fallen out",granite,anagram,granite
11644,"Queen's favourite isle? Crete, possibly",leicester,anagram,leicester
135532,Cells turn to fix as drug dealt externally,guardrooms,assemblage,guardrooms
34715,Depression sure to develop after hip contracts,indentures,assemblage,indentures
30176,Not in the pink,offcolour,double definition,off colour
112074,Author of Great Expectations?,hope,double definition,hope
107027,"Rising, or just turning over?",revolution,double definition,revolution
88450,"Anti-government group still rising, securing a role",teaparty,assemblage,tea party
131217,"Surgeries' tender, qualified as medical worker",registerednurse,assemblage,registered nurse
97107,Party in which lovely lass is injected with drug,finegael,assemblage,fine gael
121984,Crosspiece with front for model,perfection,assemblage,perfection
2603,Right one in cultured surrounds ã one in a million?,rarity,container,rarity
112080,Lodging for friend in disgrace?,doghouse,double definition,doghouse
67755,Tree associated with one king,acer,assemblage,acer
65010,Its shadow was a sign of the times,gnomon,double definition,gnomon
77076,Prom performers duck out of this world,temporal,anagram,temporal
35412,Exploding grenade creates disorder,derange,anagram,derange
105382,"Unsteady, like teetotaller drinking more rum, mostly",doddery,container,doddery
25388,Authorisation required for this sort of sale?,clearance,double definition,clearance
118625,Cruel followers of a so-called marquis,sadists,assemblage,sadists
80412,Shabby trio carrying plug and soap?,threadbare,assemblage,threadbare
99179,Spread arranged by oil producer - the aggressive goat!,peanutbutter,assemblage,peanut butter
41297,Current squeezes right hot and steamy!,tropical,container,tropical
63551,A poisonous creeper,snake,double definition,snake
123986,US TV celebrity losing heart for fish,opah,container,opah
85229,Perhaps Cherie starts to write lampoons and satirical verse,clerihew,assemblage,clerihew
90719,"Neon in its natural state, element initially inferior to fellow element",manganese,assemblage,manganese
136903,Annalist busy acquiring old papers,nationals,anagram,nationals
39635,Is perversely advanced still,silent,anagram,silent
106762,"Attractive person on a poster, primarily exposed in a state of undress",dishabille,assemblage,dishabille
26857,Nodding off in the Cowes road? A thousand times no!,somnolent,container,somnolent
76927,Clothes worn in topless TV programme?,gear,double definition,gear
21980,Like to strip off when retiring or having a snooze,asleep,assemblage,asleep
132163,Daisy's relative's crazy over crazy girl about love,marigold,anagram,marigold
2569,Leave opera singer for naked lady,godiva,assemblage,godiva
25255,Thou - quietly - not upright?,grandpiano,assemblage,grand piano
18713,"Happy with goal, flip",upend,assemblage,upend
94761,Theft from canonized studio,stealing,hidden word,stealing
93581,Saw mishap jumping over sort of gate,aphorism,anagram,aphorism
133714,Part of American train track's fine,taillight,assemblage,tail light
100966,Point out drunk has answer to clue,highlight,assemblage,highlight
47987,Revolutionary Dame,trot,double definition,trot
45758,"Wearing fewer clothes, for example?",lesson,assemblage,lesson
51639,"Act less, try broadcast for radio once",crystalset,anagram,crystal set
79348,China supporting offensive game,badminton,assemblage,badminton
105842,Opening date that is desperate,doordie,assemblage,do or die
77545,Like going over Guardian leaders after a fight with spears,asparagus,assemblage,asparagus
62488,"At a function, carrying shabby clothes",astatine,container,astatine
59915,Pamphlet man placed outside,sheet,container,sheet
117883,Film on Aussie experts - they help keep the wheels of industry turning,greaseguns,assemblage,grease guns
112670,Educational degrees give support in retirement,beds,double definition,beds
134727,A quantity of drink is both good and bad,gill,assemblage,gill
88446,Points to one of several children as being bright,sequin,assemblage,sequin
38576,Cancel a do strangely retaining odd bit of finale which is forgettable,oldacquaintance,anagram,old acquaintance
98379,Literary traveller initially altered Eliot's character,tulliver,anagram,tulliver
40925,Piece of music has to carry a sound,toccata,assemblage,toccata
102611,Cricket sides seen occasionally,offandon,double definition,off and on
90840,Pioneer showed the way in a state of shock,startled,assemblage,startled
35700,House of Lords is backing contents of your letter in outline,silhouette,container,silhouette
23491,Portable power source for teetotal assault,drybattery,assemblage,dry battery
22964,Some telephones transmit direct,honest,hidden word,honest
27159,Agree about journalist being taken in by star,accede,container,accede
62684,"Short, tailless dog",cur,double definition,cur
55194,Aim to identify shuttle,endeavour,double definition,endeavour
139259,Removes difficulty with brief direction,rubsout,assemblage,rubs out
61620,Those vanquished by the Spanish head east as a precaution,incase,assemblage,in case
24469,Lose control at breakfast? Have a drink!,eggflip,assemblage,egg flip
101117,Was book's content order intended to be restrictive?,asbo,hidden word,asbo
111945,No alternative,yes,double definition,yes
29932,Room can be found for plonk,chambertin,assemblage,chambertin
141270,Arms trade leaders entertained by numerous delegates,legation,assemblage,legation
130069,"Some ran badly, running not being their sport",oarsmen,anagram,oarsmen
27925,Chance in rugby game to get head ripped off,evens,double definition,evens
12548,One grows up and blooms,irises,double definition,irises
59880,Don't stay on the road - it's a bore,turnoff,double definition,turn off
48884,Drink and a biscuit for royalty,bourbon,double definition,bourbon
15537,Speed up in home improvement regimen,dietary,container,dietary
141893,"My sonny's ill - tired and worn out, maybe",synonyms,anagram,synonyms
89361,It turns green once church leaves Devon town,tiverton,anagram,tiverton
102674,Slam outside hospital with a narcotic,bhang,container,bhang
102969,Screamer used the current hustings - the tops!,sutch,assemblage,sutch
16421,"You may see a hunchback, perhaps, double",ringer,double definition,ringer
123234,"Tiny pigs swallowing coin, nuts and bolts",rudiments,container,rudiments
124309,Turtle's head fit for consumption - on this?,teatable,assemblage,tea table
125340,Gives up about pet in trouble from bugs,centipedes,container,centipedes
62450,Land or borough in Holland for Spooner,touchdown,double definition,touch down
67167,Moderate entertainment,fair,double definition,fair
127533,Such a suit might make Ian pretty upset,paternity,anagram,paternity
68770,"What the Israelites went through the wrong way round, getting cooked very fast",seared,anagram,seared
25691,Record some inadvertent errors,enter,hidden word,enter
135939,Survive a heavy blow,weatherthestorm,double definition,weather the storm
686,Time off for parties in secluded spot,recess,double definition,recess
67811,Representation in holding company,icon,hidden word,icon
73753,Partner would make supermarket run if opening of tills moved to the earliest slot,escort,anagram,escort
62090,Party unknown to a foreign country,libya,assemblage,libya
70926,"Friendly, am I? - Vince",amicable,assemblage,amicable
