Index,Clue,Solution,gemma_predicted
135430,"Achy shaking stopped by iodine, salt and kaolin",chinaclay,assemblage
93485,Paid the bail for a sound woman,freda,assemblage
77103,"In Germany, thin girls can eat this!",anything,container
72429,Old official partial to free verse,reeve,hidden word
42357,Coarse-sounding son's in the wilderness,dessert,container
14535,Turns up in chilly surroundings yet well received,popular,assemblage
126864,Foreign currency racket completely disheartened auditor,dinar,assemblage
1059,The fellow apprehending one felon,thief,container
112931,Dames popular with sailors?,broads,double definition
21744,Last year's leaders entertained by regular journalist,evelyn,container
3077,Butcher breaks bent pan,skillet,container
49144,Improved a carving with direction,cameon,assemblage
33191,"'s ""a hairy man"", speaking in child's play",seesaw,assemblage
39603,Bend down to king in Chesterfield,crouch,container
65864,"Message left in note, eg ""Castle in the morning""",telegram,assemblage
39500,A weightwatchers' congress?,diet,double definition
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,anagram
116403,"In the chair, restraining Democrat under influence of drugs",sedated,container
7713,"Horny beast imagined finding garment ripped, models having fled",unicorn,assemblage
65892,Sword giving enemy cut to one leg,foil,assemblage
47168,"Very cutting, but inviting riposte",twoedged,double definition
139673,Pays for food after treasurer cleared out,treats,container
88123,Poet's round - very one just cited,ovid,assemblage
25643,Academic sinecures?,easychairs,double definition
117,Girl rejected in family rebellion,beryl,hidden word
102698,On which the unemployed needed drink or warm brew before church,jarrowmarch,assemblage
140405,Australian birds scrub duds,brushturkeys,assemblage
109857,Number of copies produced of picture for all to see in the navy,printrun,assemblage
56259,Dubious moment to go topless,iffy,assemblage
78909,Uncommon pronoun,royalwe,assemblage
117476,What's worn by Amazons as custodians?,wardresses,assemblage
111029,Tries hard with a cereal,hasago,assemblage
47761,It's suitable in public,exoteric,double definition
14041,Injure a black beetle,scarab,assemblage
71248,Cabinet minister provides rally in disaster,lordprivyseal,assemblage
82116,One way to get team something in a pie,mincemeat,assemblage
66596,Advertising in advance,promotion,double definition
62747,Oddball wants to perform on dam,weirdo,assemblage
88285,Grow increasingly furious with puzzle,bewilder,assemblage
104275,No good at making pudding,duff,double definition
113355,ATM George misused as source of money,mortgagee,anagram
124178,Mason's fermented juice?,perry,double definition
120504,Expression of surprise at topless Winnie,ooh,assemblage
131856,Band crew/outfit leaders on road - useful for light adjustment,sashcord,assemblage
51680,Top man secures first place for author,kipling,assemblage
36053,Turkish leader about to conclude the business,agenda,assemblage
142129,Motor enthusiast modifies other pedal,petrolhead,anagram
15514,Star surprisingly is over a year missing,astray,assemblage
30402,One of the Stones appearing worn - affected by the drink?,pebble,double definition
12866,See animal go wild in the bush,magnolia,anagram
86325,Figure seizing hotel involved in fund-raiser,telethon,anagram
41678,The old racer racing around Italy?,charioteer,anagram
53157,What Mrs Sprat might do with rabbit,chewthefat,double definition
36723,Carry on in the theatre,operate,double definition
123534,Double up refashioning citadel walls,duplicate,anagram
8288,Feel sorry when soldiers get to guard Roundhead,regret,container
24258,"Irritates spaniel's head, which is uncalled for",needless,assemblage
26394,Temporarily relocate help,second,double definition
51064,Coming to no conclusion,endless,double definition
39018,"Rising artist, ignoring society, matured",aged,anagram
137241,Brilliance of one of Elgar's Variations,glare,anagram
71008,Think of son being corrupted in drink,consider,anagram
30362,Temporary work welcomed by young boxer?,popup,container
121272,Name and return address in America,dub,anagram
60674,Where one is involved as an ex-president,eisenhower,anagram
2115,Bird of prey,raven,double definition
124142,Country girl briefly eating duck,laos,container
112643,Found out such appliances are dangerous,unearthed,double definition
30742,I take five outside to do test again,resit,assemblage
139806,Midsummer Day ends with a group of sailors,rya,assemblage
87240,"Place order, getting from pick-up to destination, showing self-possession",aplomb,assemblage
48018,"Unusually irate, not otherwise disposed to attack",tearinto,anagram
56653,Scrap a piece of classical music,raga,assemblage
90180,Trophy girls tricked into serious predicament,sorryplight,anagram
40199,Doubt one may be apprehended,suspect,double definition
25715,Noble's wayward cousin hugged by retired transvestite,viscount,container
112535,Novel with first part abbreviated: unruly mob around me aren't consistent,mmebovary,assemblage
42571,Some women's double confinement - insane!,sabine,hidden word
9639,Continue to strike a man,ramon,assemblage
41758,Second in importance,moment,double definition
99593,"Part of Tennessee Williams' last ""hip"" production: morose, electrifying Marlon initially in the lead",memphis,assemblage
111136,Assembled tediously for amateurish work,doityourself,anagram
7013,Tension disturbed rest on ship,stress,assemblage
3711,Go really wild with a symbolic tale,allegory,anagram
107759,"Utters a dictum, so there's nothing missed",says,assemblage
81319,Primate with cross in position of eminence,apex,assemblage
112041,Chap sadly back around houses in Spanish city,salamanca,assemblage
62445,"Set well back, marsh east of Senegalese capital",stiffen,assemblage
137544,Grouped together with a retired joiner,banded,double definition
11241,Drink without a container sent back source of milk,coconut,assemblage
105358,"Writer in a hurry to do so, too",rushdie,assemblage
75815,Make an effective stab at providing a short survey,runthrough,double definition
119085,"Residence in block, a squat",bungalow,assemblage
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda,double definition
87379,"A slippery customer, the winter sportsman!",skier,double definition
79884,No laughs disrupted Evert's closing attack,onslaught,assemblage
11494,Listened when eccentric signed on,enlisted,anagram
136017,Disciples are against books by stars,votaries,assemblage
85137,Whom beer affected should keep away from it!,homebrew,anagram
140113,He scripted nice revised report of spoken words,indirectspeech,anagram
97645,A politician's current measure,amps,assemblage
49653,Society follows better customs,mores,assemblage
132156,Range of dumps accommodating virile blokes by day,themendips,container
63736,Knock cap off sleeping policeman,hump,double definition
68452,Turn and hide glass,windscreen,assemblage
27894,Reportedly waited around grave,staid,double definition
47499,Put up rainwear in a swindle,scam,double definition
46777,Country song about American getting back from Detroit,austria,container
110387,Briefly contemplate a chop reserved for Spaniard's meal,gazpacho,assemblage
33300,"Write, for instance, ""to rise"" as your answer?",getup,double definition
134309,Holder and others sounded greatly impressed,slayed,double definition
3418,A buddy rejects sport for which he's not paid,amateur,assemblage
76110,Virgil's lines against leaving heaven during tide change,theaeneid,assemblage
12579,Benefit favouring the healthy,profit,assemblage
53052,Fish ate weed,haddock,assemblage
6637,One vintage port that's perfect,ideal,assemblage
75375,Parliament success: what about Mr Coe? Negative,naseby,assemblage
101963,Where to hole a vessel among the fleet,amidships,assemblage
51733,Where accidents are affecting the roses,blackspot,double definition
91152,"In tight spot, swear!",plight,double definition
137716,Fiddle with French car that's dropping back,fraud,assemblage
136954,One hesitates to revive English leader after knockout,anaesthetise,assemblage
54535,Morse's last case stirring up memories,evocative,anagram
2975,Spoken for a large section,oral,hidden word
24929,Night is unusual source of enlightenment,insight,anagram
