Index,Clue,Solution,gemma_predicted,Spaced_Solution
135430,"Achy shaking stopped by iodine, salt and kaolin",chinaclay,assemblage,china clay
93485,Paid the bail for a sound woman,freda,assemblage,freda
77103,"In Germany, thin girls can eat this!",anything,container,anything
72429,Old official partial to free verse,reeve,hidden word,reeve
42357,Coarse-sounding son's in the wilderness,dessert,container,dessert
14535,Turns up in chilly surroundings yet well received,popular,assemblage,popular
126864,Foreign currency racket completely disheartened auditor,dinar,assemblage,dinar
1059,The fellow apprehending one felon,thief,container,thief
112931,Dames popular with sailors?,broads,double definition,broads
21744,Last year's leaders entertained by regular journalist,evelyn,container,evelyn
3077,Butcher breaks bent pan,skillet,container,skillet
49144,Improved a carving with direction,cameon,assemblage,came on
33191,"'s ""a hairy man"", speaking in child's play",seesaw,assemblage,seesaw
39603,Bend down to king in Chesterfield,crouch,container,crouch
65864,"Message left in note, eg ""Castle in the morning""",telegram,assemblage,telegram
39500,A weightwatchers' congress?,diet,double definition,diet
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,anagram,dulcimer
116403,"In the chair, restraining Democrat under influence of drugs",sedated,container,sedated
7713,"Horny beast imagined finding garment ripped, models having fled",unicorn,assemblage,unicorn
65892,Sword giving enemy cut to one leg,foil,assemblage,foil
47168,"Very cutting, but inviting riposte",twoedged,double definition,two edged
139673,Pays for food after treasurer cleared out,treats,container,treats
88123,Poet's round - very one just cited,ovid,assemblage,ovid
25643,Academic sinecures?,easychairs,double definition,easy chairs
117,Girl rejected in family rebellion,beryl,hidden word,beryl
102698,On which the unemployed needed drink or warm brew before church,jarrowmarch,assemblage,jarrow march
140405,Australian birds scrub duds,brushturkeys,assemblage,brush turkeys
109857,Number of copies produced of picture for all to see in the navy,printrun,assemblage,print run
56259,Dubious moment to go topless,iffy,assemblage,iffy
78909,Uncommon pronoun,royalwe,assemblage,royal we
117476,What's worn by Amazons as custodians?,wardresses,assemblage,wardresses
111029,Tries hard with a cereal,hasago,assemblage,has a go
47761,It's suitable in public,exoteric,double definition,exoteric
14041,Injure a black beetle,scarab,assemblage,scarab
71248,Cabinet minister provides rally in disaster,lordprivyseal,assemblage,lord privy seal
82116,One way to get team something in a pie,mincemeat,assemblage,mincemeat
66596,Advertising in advance,promotion,double definition,promotion
62747,Oddball wants to perform on dam,weirdo,assemblage,weirdo
88285,Grow increasingly furious with puzzle,bewilder,assemblage,bewilder
104275,No good at making pudding,duff,double definition,duff
113355,ATM George misused as source of money,mortgagee,anagram,mortgagee
124178,Mason's fermented juice?,perry,double definition,perry
120504,Expression of surprise at topless Winnie,ooh,assemblage,ooh
131856,Band crew/outfit leaders on road - useful for light adjustment,sashcord,assemblage,sash cord
51680,Top man secures first place for author,kipling,assemblage,kipling
36053,Turkish leader about to conclude the business,agenda,assemblage,agenda
