Index,Clue,Solution,Spaced_Solution,gemma_predicted,llama_solved_answer
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,dulcimer,anagram,HARMONIC,0
113355,ATM George misused as source of money,mortgagee,mortgagee,anagram,CASHMACHINE,0
142129,Motor enthusiast modifies other pedal,petrolhead,petrolhead,anagram,ACCELERATOR,0
12866,See animal go wild in the bush,magnolia,magnolia,anagram,BEHOLDEN,0
86325,Figure seizing hotel involved in fund-raiser,telethon,telethon,anagram,STATUETTE,0
41678,The old racer racing around Italy?,charioteer,charioteer,anagram,ITALIANATE,0
123534,Double up refashioning citadel walls,duplicate,duplicate,anagram,REDOUBLED,0
39018,"Rising artist, ignoring society, matured",aged,aged,anagram,RIPE,0
137241,Brilliance of one of Elgar's Variations,glare,glare,anagram,ENIGMA,0
71008,Think of son being corrupted in drink,consider,consider,anagram,CONSIDER,1
121272,Name and return address in America,dub,dub,anagram,USA,0
60674,Where one is involved as an ex-president,eisenhower,eisenhower,anagram,WHITEHOUSE,0
48018,"Unusually irate, not otherwise disposed to attack",tearinto,tear into,anagram,IN ARMS,0
90180,Trophy girls tricked into serious predicament,sorryplight,sorry plight,anagram,CUP TIES,0
111136,Assembled tediously for amateurish work,doityourself,do it yourself,anagram,NO NOVICE,0
3711,Go really wild with a symbolic tale,allegory,allegory,anagram,RUNWILD,0
11494,Listened when eccentric signed on,enlisted,enlisted,anagram,TUNEDIN,0
85137,Whom beer affected should keep away from it!,homebrew,home brew,anagram,ALL ALE,0
140113,He scripted nice revised report of spoken words,indirectspeech,indirect speech,anagram,SCREENPLAY,0
54535,Morse's last case stirring up memories,evocative,evocative,anagram,REMINDER,0
24929,Night is unusual source of enlightenment,insight,insight,anagram,INSIGHT,1
95281,"""Country mania"" is touring round in the same place",namibia,namibia,anagram,RURALIA,0
101319,Lionesses becoming silent,noiseless,noiseless,anagram,LIONISES,0
1091,"""Caine Mutiny"" originally flickered here",cinema,cinema,anagram,REELER,0
41246,Bird's heavy defeat overturned,linnet,linnet,anagram,KESTREL,0
83563,Cast supporting the Queen's Speech?,thrown,thrown,anagram,ACTORS,0
130470,Model curtsied for starters,crudites,crudites,anagram,MANNEQUIN,0
134320,How rifles may be carried by soldiers not wanted in retreat,ported,ported,anagram,ATSLUNG,0
59282,Cut off and also tie off,isolate,isolate,anagram,SEVERED,0
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,exemplar,anagram,PARADISEO,0
49815,Drunken men docked in early naval vessel,minelayer,minelayer,anagram,INEBRIATE,0
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,open wide,anagram,I WEEP,0
125621,Crew men showing little variation in strokes,stokers,stokers,anagram,ROWERS,0
66079,Is it after five or later he calls?,visitor,visitor,anagram,HEAVIES,0
134995,Name-dropping Dubliner shattered and put back together,rebuild,rebuild,anagram,RENDITE,0
134455,Pain he's suffering to get fit,inshape,in shape,anagram,ON DIET,0
90639,Furnace where link is forged,kiln,kiln,anagram,IRON,0
89291,"Cast my anchor in Norway, say",monarchy,monarchy,anagram,ANCHORS,0
56748,She surprised Alice,celia,celia,anagram,VIXEN,0
49003,Sort of nut that is loose,untie,untie,anagram,WALNUT,0
136829,"Hacking, will fear this security measure?",firewall,firewall,anagram,FIREWALL,1
11830,Doctor can sue for time to redeem foreign bills,usance,usance,anagram,REDIAL,0
81250,"With belly in unusually bad order, lain over",abdominal,abdominal,anagram,TURNEDUP,0
130168,Cosy conga (line dancing?),congenial,congenial,anagram,COZYLINE,0
12944,Abrasive doctor appears extremely narked,sandpaper,sandpaper,anagram,EMERYPAP,0
11832,Time permitted for transferring note in dubious cause,usance,usance,anagram,REMITT,0
60106,Certainly bound to be different,nodoubt,no doubt,anagram,IS ATYP,0
59209,"Sad, losing out in this sliding scale",glissando,glissando,anagram,DECRESC,0
120891,Floods spread sludge around Mile End,deluges,deluges,anagram,SILENT,0
84115,Are spades imported to make tracks?,exist,exist,anagram,ARETE,0
127215,As might be brakes of tank with coil rotation,antilock,anti lock,anagram,TANK ARMY,0
39461,"Flies parted, I pissed",diptera,diptera,anagram,MISUSED,0
60699,Indeed a complicated case gets passed over,deceased,deceased,anagram,IGNORED,0
31298,"Communication with naked ladies, say",email,email,anagram,NUDES,0
49328,Salad dressing envied,endive,endive,anagram,CRAVED,0
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,feng shui,anagram,NO MESS,0
103706,Stock owner can let charter lapse,cattlerancher,cattle rancher,anagram,SHARE HOLDER,0
134957,Old tray I renovated with skill,adroitly,adroitly,anagram,ANTIQUE,0
1454,"Entire NHS in trouble, losing ten to bruise",shiner,shiner,anagram,HARMED,0
33877,Noble brew of ale that's about right,earl,earl,anagram,EARL,1
84522,"Position of king, plus heir, ousted",rulership,rulership,anagram,THRONEROOM,0
38158,Run member of pack over,flow,flow,anagram,PACKS,0
115813,Old councillors learned somehow about a Frenchman,aldermen,aldermen,anagram,ALDERMEN,1
103476,Could it make ferret wash?,freshwater,fresh water,anagram,FERRET SOAP,0
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,escape mechanism,anagram,STAMMER AND STARE,0
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,schadenfreude,anagram,MELANCHOLICALLY,0
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,abstruse,anagram,MONSTROUSLY,0
105648,City state ground out small business,cottageindustry,cottage industry,anagram,SINGAPORE LIMITED,0
47492,Retired Scotsman's trick,scam,scam,anagram,CARD,0
5366,Boss lost in dust storm,stud,stud,anagram,SAND,0
1030,Iberian prince angered in revolt,grandee,grandee,anagram,DONJUAN,0
122484,Head of state with guns to tame rioting,maotsetung,mao tse tung,anagram,ARM OUR,0
116450,Inexperience wears off: name gained success finally,rawness,rawness,anagram,GREENHORN,0
9207,Sat Latin translation in a lost realm of fancy,atlantis,atlantis,anagram,LOTUSLAND,0
40287,Laciest piece in the sewing box? That's stretching it!,elastic,elastic,anagram,LACELET,0
34241,One's captivated by star-shaped feature of fluted column,stria,stria,anagram,ASTRA,0
79225,No bunker could be perfectly even,unbroken,unbroken,anagram,UNEVENLY,0
86453,Crossover door,rood,rood,anagram,PORT,0
84783,Sent us out at the end of the day,sunset,sunset,anagram,DISMISS,0
22379,Old king failing to make the grade,edgar,edgar,anagram,KINGO,0
106492,"Alas, old Bob Dylan cut short touring",sadly,sadly,anagram,ALACK,0
130471,"Raw food cursed, it needing to be cooked",crudites,crudites,anagram,UNCOOKED,0
26686,Knock run off spin bowler,elbow,elbow,anagram,OVERS,0
71373,Loved to see the dreadnought wrecked,adored,adored,anagram,ADORED,1
120766,President strangely agin dancing,polkaing,polkaing,anagram,REAGAN,0
129534,"Try, as arranged, one caught being excessively lustful",satyric,satyric,anagram,LECHERO,0
111244,Toxic soup I soon blended,poisonous,poisonous,anagram,POISONED,0
82539,"Rep's car goes off, making a hasty departure",scarper,scarper,anagram,LEGISLA,0
109400,October's brief time for playing with ritualistic symbolism,totemic,totemic,anagram,HALLOWE,0
101513,A crop is knocked flat,prosaic,prosaic,anagram,PROSTR,0
85628,A hem one should repair: everyone knows that,householdname,household name,anagram,SEAMSTRESS,0
59956,Crazy bit by Len's father needs re-writing,batsinthebelfry,bats in the belfry,anagram,GO MAD IN LIFE,0
95550,Failing to disrupt the indolence,onthedecline,on the decline,anagram,NO IT SLOTH,0
129083,Explain about what keeps a wheel on,axlepin,axle pin,anagram,AXLE,0
90108,Build new Northern capital,dublin,dublin,anagram,EDIFIES,0
23025,Cowherd's pie and broth,chowder,chowder,anagram,COWPIE,0
12794,Pitfall for member when rising,trap,trap,anagram,SNARE,0
8693,"Five earth-filled urinals, recycling all-inclusive",universal,universal,anagram,TOILETS,0
107975,Bags of vicious cruelties,reticules,reticules,anagram,ATROCITIES,0
59692,A sort able to produce old instrument,astrolabe,astrolabe,anagram,LUTISTABLE,0
82165,Drunken expat in public house has a nagging wife,xanthippe,xanthippe,anagram,EXPATRIATE,0
82360,Fantastic start to theatrical career involving N. Coward,recreant,recreant,anagram,NOVELIST,0
125168,Badly-treated migrants feeling hurt,smarting,smarting,anagram,REFUGEES,0
27602,It peels off note,epistle,epistle,anagram,ONIONS,0
65483,"Ear inflammation aggravated, so it doubled",otitis,otitis,anagram,OTITIS,1
126646,Songs of Praise hasn't managed to retain big space,anthems,anthems,anagram,HYMNSAP,0
