Index,Clue,Solution,Spaced_Solution,gemma_predicted
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,dulcimer,anagram
113355,ATM George misused as source of money,mortgagee,mortgagee,anagram
142129,Motor enthusiast modifies other pedal,petrolhead,petrolhead,anagram
12866,See animal go wild in the bush,magnolia,magnolia,anagram
86325,Figure seizing hotel involved in fund-raiser,telethon,telethon,anagram
41678,The old racer racing around Italy?,charioteer,charioteer,anagram
123534,Double up refashioning citadel walls,duplicate,duplicate,anagram
39018,"Rising artist, ignoring society, matured",aged,aged,anagram
137241,Brilliance of one of Elgar's Variations,glare,glare,anagram
71008,Think of son being corrupted in drink,consider,consider,anagram
121272,Name and return address in America,dub,dub,anagram
60674,Where one is involved as an ex-president,eisenhower,eisenhower,anagram
48018,"Unusually irate, not otherwise disposed to attack",tearinto,tear into,anagram
90180,Trophy girls tricked into serious predicament,sorryplight,sorry plight,anagram
111136,Assembled tediously for amateurish work,doityourself,do it yourself,anagram
3711,Go really wild with a symbolic tale,allegory,allegory,anagram
11494,Listened when eccentric signed on,enlisted,enlisted,anagram
85137,Whom beer affected should keep away from it!,homebrew,home brew,anagram
140113,He scripted nice revised report of spoken words,indirectspeech,indirect speech,anagram
54535,Morse's last case stirring up memories,evocative,evocative,anagram
24929,Night is unusual source of enlightenment,insight,insight,anagram
95281,"""Country mania"" is touring round in the same place",namibia,namibia,anagram
101319,Lionesses becoming silent,noiseless,noiseless,anagram
1091,"""Caine Mutiny"" originally flickered here",cinema,cinema,anagram
41246,Bird's heavy defeat overturned,linnet,linnet,anagram
83563,Cast supporting the Queen's Speech?,thrown,thrown,anagram
130470,Model curtsied for starters,crudites,crudites,anagram
134320,How rifles may be carried by soldiers not wanted in retreat,ported,ported,anagram
59282,Cut off and also tie off,isolate,isolate,anagram
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,exemplar,anagram
49815,Drunken men docked in early naval vessel,minelayer,minelayer,anagram
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,open wide,anagram
125621,Crew men showing little variation in strokes,stokers,stokers,anagram
66079,Is it after five or later he calls?,visitor,visitor,anagram
134995,Name-dropping Dubliner shattered and put back together,rebuild,rebuild,anagram
134455,Pain he's suffering to get fit,inshape,in shape,anagram
90639,Furnace where link is forged,kiln,kiln,anagram
89291,"Cast my anchor in Norway, say",monarchy,monarchy,anagram
56748,She surprised Alice,celia,celia,anagram
49003,Sort of nut that is loose,untie,untie,anagram
136829,"Hacking, will fear this security measure?",firewall,firewall,anagram
11830,Doctor can sue for time to redeem foreign bills,usance,usance,anagram
81250,"With belly in unusually bad order, lain over",abdominal,abdominal,anagram
130168,Cosy conga (line dancing?),congenial,congenial,anagram
12944,Abrasive doctor appears extremely narked,sandpaper,sandpaper,anagram
11832,Time permitted for transferring note in dubious cause,usance,usance,anagram
60106,Certainly bound to be different,nodoubt,no doubt,anagram
59209,"Sad, losing out in this sliding scale",glissando,glissando,anagram
120891,Floods spread sludge around Mile End,deluges,deluges,anagram
84115,Are spades imported to make tracks?,exist,exist,anagram
127215,As might be brakes of tank with coil rotation,antilock,anti lock,anagram
39461,"Flies parted, I pissed",diptera,diptera,anagram
60699,Indeed a complicated case gets passed over,deceased,deceased,anagram
31298,"Communication with naked ladies, say",email,email,anagram
49328,Salad dressing envied,endive,endive,anagram
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,feng shui,anagram
103706,Stock owner can let charter lapse,cattlerancher,cattle rancher,anagram
134957,Old tray I renovated with skill,adroitly,adroitly,anagram
1454,"Entire NHS in trouble, losing ten to bruise",shiner,shiner,anagram
33877,Noble brew of ale that's about right,earl,earl,anagram
84522,"Position of king, plus heir, ousted",rulership,rulership,anagram
38158,Run member of pack over,flow,flow,anagram
115813,Old councillors learned somehow about a Frenchman,aldermen,aldermen,anagram
103476,Could it make ferret wash?,freshwater,fresh water,anagram
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,escape mechanism,anagram
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,schadenfreude,anagram
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,abstruse,anagram
105648,City state ground out small business,cottageindustry,cottage industry,anagram
47492,Retired Scotsman's trick,scam,scam,anagram
5366,Boss lost in dust storm,stud,stud,anagram
1030,Iberian prince angered in revolt,grandee,grandee,anagram
122484,Head of state with guns to tame rioting,maotsetung,mao tse tung,anagram
116450,Inexperience wears off: name gained success finally,rawness,rawness,anagram
9207,Sat Latin translation in a lost realm of fancy,atlantis,atlantis,anagram
40287,Laciest piece in the sewing box? That's stretching it!,elastic,elastic,anagram
34241,One's captivated by star-shaped feature of fluted column,stria,stria,anagram
79225,No bunker could be perfectly even,unbroken,unbroken,anagram
86453,Crossover door,rood,rood,anagram
84783,Sent us out at the end of the day,sunset,sunset,anagram
22379,Old king failing to make the grade,edgar,edgar,anagram
106492,"Alas, old Bob Dylan cut short touring",sadly,sadly,anagram
130471,"Raw food cursed, it needing to be cooked",crudites,crudites,anagram
26686,Knock run off spin bowler,elbow,elbow,anagram
71373,Loved to see the dreadnought wrecked,adored,adored,anagram
120766,President strangely agin dancing,polkaing,polkaing,anagram
129534,"Try, as arranged, one caught being excessively lustful",satyric,satyric,anagram
111244,Toxic soup I soon blended,poisonous,poisonous,anagram
82539,"Rep's car goes off, making a hasty departure",scarper,scarper,anagram
109400,October's brief time for playing with ritualistic symbolism,totemic,totemic,anagram
101513,A crop is knocked flat,prosaic,prosaic,anagram
85628,A hem one should repair: everyone knows that,householdname,household name,anagram
59956,Crazy bit by Len's father needs re-writing,batsinthebelfry,bats in the belfry,anagram
95550,Failing to disrupt the indolence,onthedecline,on the decline,anagram
129083,Explain about what keeps a wheel on,axlepin,axle pin,anagram
90108,Build new Northern capital,dublin,dublin,anagram
23025,Cowherd's pie and broth,chowder,chowder,anagram
12794,Pitfall for member when rising,trap,trap,anagram
8693,"Five earth-filled urinals, recycling all-inclusive",universal,universal,anagram
107975,Bags of vicious cruelties,reticules,reticules,anagram
59692,A sort able to produce old instrument,astrolabe,astrolabe,anagram
82165,Drunken expat in public house has a nagging wife,xanthippe,xanthippe,anagram
82360,Fantastic start to theatrical career involving N. Coward,recreant,recreant,anagram
125168,Badly-treated migrants feeling hurt,smarting,smarting,anagram
27602,It peels off note,epistle,epistle,anagram
65483,"Ear inflammation aggravated, so it doubled",otitis,otitis,anagram
126646,Songs of Praise hasn't managed to retain big space,anthems,anthems,anagram
51261,Flu? See a doctor at home,easeful,easeful,anagram
44011,"After dissection, I preserved dead mammal",peredavidsdeer,pere davids deer,anagram
23751,Order alteration in grey coat,category,category,anagram
85296,Disorderly scene may come to be arranged,beargarden,bear garden,anagram
113761,"Rescue injured relative, overcoming resistance",retrieval,retrieval,anagram
4874,Playfully delicate life abused and shortened,elfin,elfin,anagram
35477,"Tandoor cooking, though aromatic, ...",odorant,odorant,anagram
109810,Circle left to access champ hit badly about the eye,ophthalmic,ophthalmic,anagram
11062,"Taken aback by swindles, tag was changed outside",aghast,aghast,anagram
113847,Where some African countries are off the leash,sahel,sahel,anagram
63839,Roger eagerly brewing tea for this prime minister,earlgrey,earl grey,anagram
95584,"Bone came apart, fragments left",metacarpal,metacarpal,anagram
25834,Player's boot is undone,oboist,oboist,anagram
131014,Does nothing in particular for protest movement,potters,potters,anagram
43572,A bit of a laugh in porn version of Oliver!?,orphan,orphan,anagram
140261,Islander with a sore bum getting into heavy metal,faroese,faroese,anagram
135475,Regular myth set in rich ground,rhythmic,rhythmic,anagram
96009,Epstein left centre awfully cross,splenetic,splenetic,anagram
120515,Yes-men with absurd cares about a line,accorders,accorders,anagram
64540,It currently controls others at assembly,rheostat,rheostat,anagram
129187,Gentleman grappling with tens of complicated relationships,entanglements,entanglements,anagram
