Index,Clue,Solution,Spaced_Solution
135430,"Achy shaking stopped by iodine, salt and kaolin",chinaclay,china clay
93485,Paid the bail for a sound woman,freda,freda
77103,"In Germany, thin girls can eat this!",anything,anything
72429,Old official partial to free verse,reeve,reeve
42357,Coarse-sounding son's in the wilderness,dessert,dessert
14535,Turns up in chilly surroundings yet well received,popular,popular
126864,Foreign currency racket completely disheartened auditor,dinar,dinar
1059,The fellow apprehending one felon,thief,thief
112931,Dames popular with sailors?,broads,broads
21744,Last year's leaders entertained by regular journalist,evelyn,evelyn
3077,Butcher breaks bent pan,skillet,skillet
49144,Improved a carving with direction,cameon,came on
33191,"'s ""a hairy man"", speaking in child's play",seesaw,seesaw
39603,Bend down to king in Chesterfield,crouch,crouch
65864,"Message left in note, eg ""Castle in the morning""",telegram,telegram
39500,A weightwatchers' congress?,diet,diet
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,dulcimer
116403,"In the chair, restraining Democrat under influence of drugs",sedated,sedated
7713,"Horny beast imagined finding garment ripped, models having fled",unicorn,unicorn
65892,Sword giving enemy cut to one leg,foil,foil
47168,"Very cutting, but inviting riposte",twoedged,two edged
139673,Pays for food after treasurer cleared out,treats,treats
88123,Poet's round - very one just cited,ovid,ovid
25643,Academic sinecures?,easychairs,easy chairs
117,Girl rejected in family rebellion,beryl,beryl
102698,On which the unemployed needed drink or warm brew before church,jarrowmarch,jarrow march
140405,Australian birds scrub duds,brushturkeys,brush turkeys
109857,Number of copies produced of picture for all to see in the navy,printrun,print run
56259,Dubious moment to go topless,iffy,iffy
78909,Uncommon pronoun,royalwe,royal we
117476,What's worn by Amazons as custodians?,wardresses,wardresses
111029,Tries hard with a cereal,hasago,has a go
47761,It's suitable in public,exoteric,exoteric
14041,Injure a black beetle,scarab,scarab
71248,Cabinet minister provides rally in disaster,lordprivyseal,lord privy seal
82116,One way to get team something in a pie,mincemeat,mincemeat
66596,Advertising in advance,promotion,promotion
62747,Oddball wants to perform on dam,weirdo,weirdo
88285,Grow increasingly furious with puzzle,bewilder,bewilder
104275,No good at making pudding,duff,duff
113355,ATM George misused as source of money,mortgagee,mortgagee
124178,Mason's fermented juice?,perry,perry
