Index,Clue,Solution
135430,"Achy shaking stopped by iodine, salt and kaolin",chinaclay
93485,Paid the bail for a sound woman,freda
77103,"In Germany, thin girls can eat this!",anything
72429,Old official partial to free verse,reeve
42357,Coarse-sounding son's in the wilderness,dessert
14535,Turns up in chilly surroundings yet well received,popular
126864,Foreign currency racket completely disheartened auditor,dinar
1059,The fellow apprehending one felon,thief
112931,Dames popular with sailors?,broads
21744,Last year's leaders entertained by regular journalist,evelyn
3077,Butcher breaks bent pan,skillet
49144,Improved a carving with direction,cameon
33191,"'s ""a hairy man"", speaking in child's play",seesaw
39603,Bend down to king in Chesterfield,crouch
65864,"Message left in note, eg ""Castle in the morning""",telegram
39500,A weightwatchers' congress?,diet
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer
116403,"In the chair, restraining Democrat under influence of drugs",sedated
7713,"Horny beast imagined finding garment ripped, models having fled",unicorn
65892,Sword giving enemy cut to one leg,foil
47168,"Very cutting, but inviting riposte",twoedged
139673,Pays for food after treasurer cleared out,treats
88123,Poet's round - very one just cited,ovid
25643,Academic sinecures?,easychairs
117,Girl rejected in family rebellion,beryl
102698,On which the unemployed needed drink or warm brew before church,jarrowmarch
140405,Australian birds scrub duds,brushturkeys
109857,Number of copies produced of picture for all to see in the navy,printrun
56259,Dubious moment to go topless,iffy
78909,Uncommon pronoun,royalwe
117476,What's worn by Amazons as custodians?,wardresses
111029,Tries hard with a cereal,hasago
47761,It's suitable in public,exoteric
14041,Injure a black beetle,scarab
71248,Cabinet minister provides rally in disaster,lordprivyseal
82116,One way to get team something in a pie,mincemeat
66596,Advertising in advance,promotion
62747,Oddball wants to perform on dam,weirdo
88285,Grow increasingly furious with puzzle,bewilder
104275,No good at making pudding,duff
113355,ATM George misused as source of money,mortgagee
124178,Mason's fermented juice?,perry
120504,Expression of surprise at topless Winnie,ooh
131856,Band crew/outfit leaders on road - useful for light adjustment,sashcord
51680,Top man secures first place for author,kipling
36053,Turkish leader about to conclude the business,agenda
142129,Motor enthusiast modifies other pedal,petrolhead
15514,Star surprisingly is over a year missing,astray
30402,One of the Stones appearing worn - affected by the drink?,pebble
12866,See animal go wild in the bush,magnolia
86325,Figure seizing hotel involved in fund-raiser,telethon
41678,The old racer racing around Italy?,charioteer
53157,What Mrs Sprat might do with rabbit,chewthefat
36723,Carry on in the theatre,operate
123534,Double up refashioning citadel walls,duplicate
8288,Feel sorry when soldiers get to guard Roundhead,regret
24258,"Irritates spaniel's head, which is uncalled for",needless
26394,Temporarily relocate help,second
51064,Coming to no conclusion,endless
39018,"Rising artist, ignoring society, matured",aged
137241,Brilliance of one of Elgar's Variations,glare
71008,Think of son being corrupted in drink,consider
30362,Temporary work welcomed by young boxer?,popup
121272,Name and return address in America,dub
60674,Where one is involved as an ex-president,eisenhower
2115,Bird of prey,raven
124142,Country girl briefly eating duck,laos
112643,Found out such appliances are dangerous,unearthed
30742,I take five outside to do test again,resit
139806,Midsummer Day ends with a group of sailors,rya
87240,"Place order, getting from pick-up to destination, showing self-possession",aplomb
48018,"Unusually irate, not otherwise disposed to attack",tearinto
56653,Scrap a piece of classical music,raga
90180,Trophy girls tricked into serious predicament,sorryplight
40199,Doubt one may be apprehended,suspect
25715,Noble's wayward cousin hugged by retired transvestite,viscount
112535,Novel with first part abbreviated: unruly mob around me aren't consistent,mmebovary
42571,Some women's double confinement - insane!,sabine
9639,Continue to strike a man,ramon
41758,Second in importance,moment
99593,"Part of Tennessee Williams' last ""hip"" production: morose, electrifying Marlon initially in the lead",memphis
111136,Assembled tediously for amateurish work,doityourself
7013,Tension disturbed rest on ship,stress
3711,Go really wild with a symbolic tale,allegory
107759,"Utters a dictum, so there's nothing missed",says
81319,Primate with cross in position of eminence,apex
112041,Chap sadly back around houses in Spanish city,salamanca
62445,"Set well back, marsh east of Senegalese capital",stiffen
137544,Grouped together with a retired joiner,banded
