Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
112931,Dames popular with sailors?,broads,broads,double definition,MADAMS,0
39500,A weightwatchers' congress?,diet,diet,double definition,MEET,0
47168,"Very cutting, but inviting riposte",twoedged,two edged,double definition,CUTTING,0
25643,Academic sinecures?,easychairs,easy chairs,double definition,TENURE,0
47761,It's suitable in public,exoteric,exoteric,double definition,APPROPRIATE,0
66596,Advertising in advance,promotion,promotion,double definition,PROMOTION,1
104275,No good at making pudding,duff,duff,double definition,BAD,0
124178,Mason's fermented juice?,perry,perry,double definition,MASON,0
30402,One of the Stones appearing worn - affected by the drink?,pebble,pebble,double definition,STONES,0
53157,What Mrs Sprat might do with rabbit,chewthefat,chew the fat,double definition,HAVE A,0
36723,Carry on in the theatre,operate,operate,double definition,CARRYON,0
26394,Temporarily relocate help,second,second,double definition,RELOCATE,0
51064,Coming to no conclusion,endless,endless,double definition,CONCLUDE,0
2115,Bird of prey,raven,raven,double definition,EAGLE,0
112643,Found out such appliances are dangerous,unearthed,unearthed,double definition,DETECTED,0
40199,Doubt one may be apprehended,suspect,suspect,double definition,DOUBT,0
41758,Second in importance,moment,moment,double definition,SECOND,0
137544,Grouped together with a retired joiner,banded,banded,double definition,JOINED,0
75815,Make an effective stab at providing a short survey,runthrough,run through,double definition,TRYING,0
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda,rotunda,double definition,SUBSCRIB,0
87379,"A slippery customer, the winter sportsman!",skier,skier,double definition,SLALOM,0
63736,Knock cap off sleeping policeman,hump,hump,double definition,BUMP,0
27894,Reportedly waited around grave,staid,staid,double definition,WAIT,0
47499,Put up rainwear in a swindle,scam,scam,double definition,DUPA,0
33300,"Write, for instance, ""to rise"" as your answer?",getup,get up,double definition,TO DO,0
134309,Holder and others sounded greatly impressed,slayed,slayed,double definition,AWED,0
51733,Where accidents are affecting the roses,blackspot,black spot,double definition,CRASH SITE,0
91152,"In tight spot, swear!",plight,plight,double definition,STRESSED,0
46199,Cooked potato with cold joint,chip,chip,double definition,COLD,0
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes,palindromes,double definition,DOGSLED TEAM,0
35372,Enormous scratch by the ear,great,great,double definition,GIGANTIC,0
60290,Secure forward position,lock,lock,double definition,SAFE,0
98299,It is difficult being so sensitive,ticklish,ticklish,double definition,TOUCHY,0
116464,"Having broken a personal record, though on the decline",pastonesbest,past ones best,double definition,PERSONAL BEST,0
6256,Scandal in the sluice,watergate,watergate,double definition,SCANDAL,0
45346,Relish an Indian addition to the meal,chutney,chutney,double definition,CHUTNEY,1
121944,Quoted poet sounds like Mary's garden,shelly,shelly,double definition,ROSEMARY,0
50807,A reward for the taking?,priceononeshead,price on ones head,double definition,EASY TO TAKE,0
134682,Cheers solvers are barred from getting,youshouldnthave,you shouldnt have,double definition,NO CHEERS ALLOWED,0
91690,Performance of capital detachment,execution,execution,double definition,DECAPITATION,0
50572,Free husband,save,save,double definition,FREE,0
38373,Small and delicate,slight,slight,double definition,LACEY,0
29441,Calm North Yorkshire town,settle,settle,double definition,CALM,0
34965,Jack's screwdriver?,propeller,propeller,double definition,SCREWDRIVER,0
3128,"Clifftop home creepy, we hear?",eyrie,eyrie,double definition,CREEK,0
119926,Warning to speculators on gravy train ?,mindthegap,mind the gap,double definition,CAVEAT EMPTOR,0
98100,A marvellous idea taking off in dream,aspiration,aspiration,double definition,DREAMLIKE,0
