Index,Clue,Solution,Spaced_Solution,gemma_predicted,llama_solved_answer
77103,"In Germany, thin girls can eat this!",anything,anything,container,SPAGHETTI,0
42357,Coarse-sounding son's in the wilderness,dessert,dessert,container,DESERTS,0
1059,The fellow apprehending one felon,thief,thief,container,CATCH,0
21744,Last year's leaders entertained by regular journalist,evelyn,evelyn,container,EDITOR,0
3077,Butcher breaks bent pan,skillet,skillet,container,CUTLET,0
39603,Bend down to king in Chesterfield,crouch,crouch,container,STOOPS,0
116403,"In the chair, restraining Democrat under influence of drugs",sedated,sedated,container,CHAIRS,0
139673,Pays for food after treasurer cleared out,treats,treats,container,FEASTS,0
8288,Feel sorry when soldiers get to guard Roundhead,regret,regret,container,REPENT,0
30362,Temporary work welcomed by young boxer?,popup,pop up,container,ODD,0
124142,Country girl briefly eating duck,laos,laos,container,ERNE,0
25715,Noble's wayward cousin hugged by retired transvestite,viscount,viscount,container,EARLDOM,0
132156,Range of dumps accommodating virile blokes by day,themendips,the mendips,container,RUBBISH TIPS,0
46777,Country song about American getting back from Detroit,austria,austria,container,MOTOWN,0
56548,Fooled by absorbing Resistance story,hardtimes,hard times,container,HAD UP,0
107238,Bar containing drop of liquid comfort,salve,salve,container,SOBER,0
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity,inhumanity,container,INSENSIBILITY,0
139462,"Began turning up carrying cargo, initially of spoils",detracts,detracts,container,INITIATED,0
43900,Identifying pattern that's bound to squash one irritant,signature,signature,container,NETTLESOME,0
17405,Vivacity normal in retreating deer,sparkle,sparkle,container,SPRINGY,0
89801,Hood hardly ever appears over nothing,scarface,scarface,container,ANORAKS,0
114209,"Discreet, caught in bad fault",tactful,tactful,container,TACTFUL,1
115851,Struggle across line to finish,complete,complete,container,WRESTLE,0
37022,Wrinkles between features in a premature state,earliness,earliness,container,FROWNED,0
101215,Come down to earth about p-payment for a sweet,toffeeapple,toffee apple,container,LAND TAX,0
13238,Motorists seen in distance - it's inexplicable,miracle,miracle,container,DRIVERS,0
26545,I mostly remain in agreement in believing in God,deistical,deistical,container,THEISTIC,0
112205,Displace journalist that has complaint about energy,edgeout,edge out,container,OUST,0
4871,Charming and delicate female seen in reflection of river,elfin,elfin,container,LOVEL,0
54355,"Writer, a good man, seen inside foreign restaurant",bistro,bistro,container,AUTHOR,0
549,Pain beginning to hurt in one,ache,ache,container,ACHE,1
100634,Poem about mountains given top grade -- sparkling stuff,orangeade,orangeade,container,CHAMPAGNE,0
131081,"In a maddening way, shrewd Brown standing inside",frustratingly,frustratingly,container,INFURIATINGLY,0
31731,"Wild duck swallows English dram, if dry",teetotal,teetotal,container,MALLARD,0
39851,He fails to show up the defect in the return pipe,defaulter,defaulter,container,DEFAULT,0
91842,Spending allowance to be cut in move,budge,budge,container,STINTS,0
90127,Giving medical treatment to stray pet held,dosing,dosing,container,TENDED,0
43685,Player with no time for a bet,fluter,fluter,container,GAMBIT,0
134058,Harry and Henry nabbed by someone not in uniform,chivvy,chivvy,container,CIVVIE,0
120426,Prime made out to include another,seven,seven,container,ADDED,0
44396,No time for Mister Scrooge,miser,miser,container,EBONY,0
85944,Biblical dupe keeping bridge players up with sense of foreboding,unease,unease,container,OMINOUS,0
102268,Strangler with soldiers going around in band,garroter,garroter,container,GARROTE,0
138620,Manual actions in service taking a long time,massages,massages,container,MANUALS,0
26494,"European composer, in recital, has things to do",checklist,checklist,container,MOZARTES,0
81195,"Flash not very bright, introducing copper for a bit",modicum,modicum,container,GLINTED,0
141319,Radioactive element in preservative for good health,salut,salut,container,RADON,0
14311,Plant with a sting stuck in the chimney,laburnum,laburnum,container,NETTLE,0
36078,"Soldier's gear, which stays at home",tinhat,tin hat,container,KIT BAG,0
119078,"Time off, stuff punctuated by irregular pay",gapyear,gap year,container,TEA BREAK,0
93033,Record claiming uranium is brownish-grey,taupe,taupe,container,TAPES,0
88134,Wolf circling eastern Galloway?,george,george,container,LOCHS,0
58772,"Hundreds pocketed by accountants, the rotters!",cads,cads,container,CADS,1
87361,Heartless Shakespeare heroine keeping beret for a head,percapita,per capita,container,OTHELIA,0
116622,Ruled measure government introduced must be reversed,reigned,reigned,container,METRULER,0
21476,"Engaged, that's the outcome about me and a girl",enmeshed,enmeshed,container,BETROTHED,0
128290,Tough solidity for road transport crossing a bit of rail track,burliness,burliness,container,HARDENESS,0
31476,Artist in car skirting ancient city,seurat,seurat,container,DACIAN,0
36592,Male child consumes duck quickly,soon,soon,container,LADS,0
83799,Vehicles boy goes in are always late,cadavers,cadavers,container,BUSBOYS,0
28350,Best food Mike's brother found in the continent,ambrosia,ambrosia,container,AFRICA,0
37285,Like supporter at home holding a kind of sign inside boundary,infavour,in favour,container,IN SIGN,0
29221,"Poet's dawn air ""threaded with gold""",aurora,aurora,container,AURORA,1
100999,Dessert like jelly seen around the globe,sorbet,sorbet,container,TRIFLE,0
198,Fend off leader of pirates in film,repel,repel,container,PARRY,0
38797,English general accepts tax raise,elevate,elevate,container,GENERAL,0
77301,Gets the dog and looks around,secures,secures,container,SEESAW,0
135945,Tubes bringing a form of medication to stop decay,capillaries,capillaries,container,DENTURES,0
111629,Criminals returning so as to be split in opposing,cosanostra,cosa nostra,container,INSIDE,0
7600,Left holding baby after this,labour,labour,container,BABIES,0
10326,Lousiest material editor's chucked out,worst,worst,container,WORST,1
105900,Not a street where things happen,venue,venue,container,OFFIT,0
118322,"Cajole alien, within reason",getround,get round,container,IN REASON,0
14203,Cleaner copies including past papers,coldcream,cold cream,container,PASTA MAKER,0
74224,Worry about horse slaughter,carnage,carnage,container,BUTCHER,0
54062,Signified by inserting negative in Act,denoted,denoted,container,MEANT IT,0
28030,"Doctor, one breaking smart fellow's chemistry apparatus",alembic,alembic,container,MEDICAL,0
22581,Water drowned second biblical brother,esau,esau,container,NOAH,0
22983,Surgeon given sixpence outside the theatre,trepanner,trepanner,container,OPERATOR,0
121769,Yellow streak will put celebrity status out of order in time,dastardy,dastardy,container,TIMIDITY,0
49010,Relative gives away article free,untie,untie,container,UNCLE,0
93780,"Bill wears Sikh wedding rings, hard in a Muslim land",bangladesh,bangladesh,container,TURBANIZE,0
573,"Faithful, but getting new man into bed",constant,constant,container,LOYALTY,0
10902,Cheap accommodation always in part of journey,steerage,steerage,container,HOSTELS,0
63379,Fish seems to be right in the light,bream,bream,container,TROUT,0
108160,"Inexpert folk, handicapped, retaining unknown name",laymen,laymen,container,AMATEUR,0
111080,Noise inside gear when travelling,riding,riding,container,CLANKS,0
7301,Angry outburst from one stuck in traffic,tirade,tirade,container,HONKS,0
130849,Inadequate lavatory in filthy place,scanty,scanty,container,LOOSEL,0
15464,Girl turned over one in the grass,sisal,sisal,container,LASSI,0
23145,Sharp taste rolled around centre of mouth,astute,astute,container,ACIDIC,0
114103,Book Nine in academic citation,donquixote,don quixote,container,VOL IX,0
50323,Peg will see about soldier getting back,spigot,spigot,container,TROOP,0
127587,"In running for cover, lesbian freely admits ""game up""",insurable,insurable,container,OUTGAMED,0
134593,Cold island imports temperature,stark,stark,container,ICELT,0
31228,Directions are in the mail for making a warming winter drink,posset,posset,container,TEAING,0
21423,Beast about to catch girl - not fair!,brunette,brunette,container,MONSTER,0
9774,Kangaroo eating large loaf,bloomer,bloomer,container,WALLABY,0
70974,Humble cleric taking me to heart,demean,demean,container,MODEST,0
67206,Bird is injected with thiamine,ibis,ibis,container,IBIS,1
62043,"Note circling reptile is a threat, in the main",uboat,u boat,container,ALOA,0
71737,English naval officer is about to impress,commandeer,commandeer,container,ADMIRALS,0
105218,Directions limiting poet producing epic verse,epopee,epopee,container,ODEIST,0
95116,Primate admitting self-elevation is the highest point,apogee,apogee,container,APEXES,0
