Index,Clue,Solution,Spaced_Solution,gemma_predicted,gemma_solved_answer
135430,"Achy shaking stopped by iodine, salt and kaolin",chinaclay,china clay,assemblage,STICKY WICK,0
93485,Paid the bail for a sound woman,freda,freda,assemblage,LAIDY,0
14535,Turns up in chilly surroundings yet well received,popular,popular,assemblage,CUPOLAS,0
126864,Foreign currency racket completely disheartened auditor,dinar,dinar,assemblage,YENDS,0
49144,Improved a carving with direction,cameon,came on,assemblage,MADE UP,0
33191,"s ""a hairy man"", speaking in child's play",seesaw,seesaw,assemblage,TETRIS,0
65864,"Message left in note, eg ""Castle in the morning""",telegram,telegram,assemblage,TELEGRAM,1
7713,"Horny beast imagined finding garment ripped, models having fled",unicorn,unicorn,assemblage,GIRAFFE,0
65892,Sword giving enemy cut to one leg,foil,foil,assemblage,FOIL,1
88123,Poet's round - very one just cited,ovid,ovid,assemblage,OVID,1
102698,On which the unemployed needed drink or warm brew before church,jarrowmarch,jarrow march,assemblage,BREAD LINE,0
140405,Australian birds scrub duds,brushturkeys,brush turkeys,assemblage,BRUSH TURKEYS,1
109857,Number of copies produced of picture for all to see in the navy,printrun,print run,assemblage,PRINT RUN,1
56259,Dubious moment to go topless,iffy,iffy,assemblage,IFFY,1
78909,Uncommon pronoun,royalwe,royal we,assemblage,RARELY,0
117476,What's worn by Amazons as custodians?,wardresses,wardresses,assemblage,BRASSIERES,0
111029,Tries hard with a cereal,hasago,has a go,assemblage,DIG IN,0
14041,Injure a black beetle,scarab,scarab,assemblage,SCARAB,1
71248,Cabinet minister provides rally in disaster,lordprivyseal,lord privy seal,assemblage,HOME SECRETARY,0
82116,One way to get team something in a pie,mincemeat,mincemeat,assemblage,MINCEMEAT,1
62747,Oddball wants to perform on dam,weirdo,weirdo,assemblage,DODONA,0
88285,Grow increasingly furious with puzzle,bewilder,bewilder,assemblage,ESCALATE,0
120504,Expression of surprise at topless Winnie,ooh,ooh,assemblage,OOH,1
131856,Band crew/outfit leaders on road - useful for light adjustment,sashcord,sash cord,assemblage,TRIM LAMP,0
51680,Top man secures first place for author,kipling,kipling,assemblage,PRIMATE,0
36053,Turkish leader about to conclude the business,agenda,agenda,assemblage,SETTLE,0
15514,Star surprisingly is over a year missing,astray,astray,assemblage,SIRIUS,0
24258,"Irritates spaniel's head, which is uncalled for",needless,needless,assemblage,SPURIOUS,0
30742,I take five outside to do test again,resit,resit,assemblage,RESIT,1
139806,Midsummer Day ends with a group of sailors,rya,rya,assemblage,TAR,0
