Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
77103,"In Germany, thin girls can eat this!",anything,anything,container,SPAGHETTI,0
42357,Coarse-sounding son's in the wilderness,dessert,dessert,container,SONGSTER,0
1059,The fellow apprehending one felon,thief,thief,container,CATCH,0
21744,Last year's leaders entertained by regular journalist,evelyn,evelyn,container,EDITED,0
3077,Butcher breaks bent pan,skillet,skillet,container,PANDECT,0
39603,Bend down to king in Chesterfield,crouch,crouch,container,BEND,0
116403,"In the chair, restraining Democrat under influence of drugs",sedated,sedated,container,NARCOTIC,0
139673,Pays for food after treasurer cleared out,treats,treats,container,COVERS,0
8288,Feel sorry when soldiers get to guard Roundhead,regret,regret,container,REGRET,1
30362,Temporary work welcomed by young boxer?,popup,pop up,container,JOB ON,0
124142,Country girl briefly eating duck,laos,laos,container,CHAD,0
25715,Noble's wayward cousin hugged by retired transvestite,viscount,viscount,container,NOBLEMAN,0
132156,Range of dumps accommodating virile blokes by day,themendips,the mendips,container,MAN'S WORLD,0
46777,Country song about American getting back from Detroit,austria,austria,container,CANTINA,0
56548,Fooled by absorbing Resistance story,hardtimes,hard times,container,FABLES,0
107238,Bar containing drop of liquid comfort,salve,salve,container,BARREL,0
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity,inhumanity,container,INSENSATE,0
139462,"Began turning up carrying cargo, initially of spoils",detracts,detracts,container,STARTED,0
43900,Identifying pattern that's bound to squash one irritant,signature,signature,container,PATTERNS,0
17405,Vivacity normal in retreating deer,sparkle,sparkle,container,VIVIDLY,0
89801,Hood hardly ever appears over nothing,scarface,scarface,container,HOODWINK,0
114209,"Discreet, caught in bad fault",tactful,tactful,container,CAUGHT,0
115851,Struggle across line to finish,complete,complete,container,STRUGGLE,0
37022,Wrinkles between features in a premature state,earliness,earliness,container,FETUS,0
101215,Come down to earth about p-payment for a sweet,toffeeapple,toffee apple,container,SUGAR RUSH,0
13238,Motorists seen in distance - it's inexplicable,miracle,miracle,container,MYSTERY,0
26545,I mostly remain in agreement in believing in God,deistical,deistical,container,REMAINING,0
112205,Displace journalist that has complaint about energy,edgeout,edge out,container,TAKE ON,0
4871,Charming and delicate female seen in reflection of river,elfin,elfin,container,RIVER,0
