Index,Clue,Solution,Spaced_Solution,gemma_predicted
135430,"Achy shaking stopped by iodine, salt and kaolin",chinaclay,china clay,assemblage
93485,Paid the bail for a sound woman,freda,freda,assemblage
14535,Turns up in chilly surroundings yet well received,popular,popular,assemblage
126864,Foreign currency racket completely disheartened auditor,dinar,dinar,assemblage
49144,Improved a carving with direction,cameon,came on,assemblage
33191,"s ""a hairy man"", speaking in child's play",seesaw,seesaw,assemblage
65864,"Message left in note, eg ""Castle in the morning""",telegram,telegram,assemblage
7713,"Horny beast imagined finding garment ripped, models having fled",unicorn,unicorn,assemblage
65892,Sword giving enemy cut to one leg,foil,foil,assemblage
88123,Poet's round - very one just cited,ovid,ovid,assemblage
102698,On which the unemployed needed drink or warm brew before church,jarrowmarch,jarrow march,assemblage
140405,Australian birds scrub duds,brushturkeys,brush turkeys,assemblage
109857,Number of copies produced of picture for all to see in the navy,printrun,print run,assemblage
56259,Dubious moment to go topless,iffy,iffy,assemblage
78909,Uncommon pronoun,royalwe,royal we,assemblage
117476,What's worn by Amazons as custodians?,wardresses,wardresses,assemblage
111029,Tries hard with a cereal,hasago,has a go,assemblage
14041,Injure a black beetle,scarab,scarab,assemblage
71248,Cabinet minister provides rally in disaster,lordprivyseal,lord privy seal,assemblage
82116,One way to get team something in a pie,mincemeat,mincemeat,assemblage
62747,Oddball wants to perform on dam,weirdo,weirdo,assemblage
88285,Grow increasingly furious with puzzle,bewilder,bewilder,assemblage
120504,Expression of surprise at topless Winnie,ooh,ooh,assemblage
131856,Band crew/outfit leaders on road - useful for light adjustment,sashcord,sash cord,assemblage
51680,Top man secures first place for author,kipling,kipling,assemblage
36053,Turkish leader about to conclude the business,agenda,agenda,assemblage
15514,Star surprisingly is over a year missing,astray,astray,assemblage
24258,"Irritates spaniel's head, which is uncalled for",needless,needless,assemblage
30742,I take five outside to do test again,resit,resit,assemblage
139806,Midsummer Day ends with a group of sailors,rya,rya,assemblage
87240,"Place order, getting from pick-up to destination, showing self-possession",aplomb,aplomb,assemblage
56653,Scrap a piece of classical music,raga,raga,assemblage
112535,Novel with first part abbreviated: unruly mob around me aren't consistent,mmebovary,mme bovary,assemblage
9639,Continue to strike a man,ramon,ramon,assemblage
99593,"Part of Tennessee Williams' last ""hip"" production: morose, electrifying Marlon initially in the lead",memphis,memphis,assemblage
7013,Tension disturbed rest on ship,stress,stress,assemblage
107759,"Utters a dictum, so there's nothing missed",says,says,assemblage
81319,Primate with cross in position of eminence,apex,apex,assemblage
