Index,Clue,Solution,gemma_predicted,Spaced_Solution,llama_solved_answer
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,anagram,dulcimer,HARMONIC,0
113355,ATM George misused as source of money,mortgagee,anagram,mortgagee,CASHMACHINE,0
142129,Motor enthusiast modifies other pedal,petrolhead,anagram,petrolhead,ACCELERATOR,0
12866,See animal go wild in the bush,magnolia,anagram,magnolia,BEHOLDEN,0
86325,Figure seizing hotel involved in fund-raiser,telethon,anagram,telethon,STATUETTE,0
41678,The old racer racing around Italy?,charioteer,anagram,charioteer,ITALIANATE,0
123534,Double up refashioning citadel walls,duplicate,anagram,duplicate,REDOUBLED,0
39018,"Rising artist, ignoring society, matured",aged,anagram,aged,RIPE,0
137241,Brilliance of one of Elgar's Variations,glare,anagram,glare,ENIGMA,0
71008,Think of son being corrupted in drink,consider,anagram,consider,CONSIDER,1
121272,Name and return address in America,dub,anagram,dub,USA,0
60674,Where one is involved as an ex-president,eisenhower,anagram,eisenhower,WHITEHOUSE,0
48018,"Unusually irate, not otherwise disposed to attack",tearinto,anagram,tear into,IN ARMS,0
90180,Trophy girls tricked into serious predicament,sorryplight,anagram,sorry plight,CUP TIES,0
111136,Assembled tediously for amateurish work,doityourself,anagram,do it yourself,NO NOVICE,0
3711,Go really wild with a symbolic tale,allegory,anagram,allegory,RUNWILD,0
11494,Listened when eccentric signed on,enlisted,anagram,enlisted,TUNEDIN,0
85137,Whom beer affected should keep away from it!,homebrew,anagram,home brew,ALL ALE,0
140113,He scripted nice revised report of spoken words,indirectspeech,anagram,indirect speech,SCREENPLAY,0
54535,Morse's last case stirring up memories,evocative,anagram,evocative,REMINDER,0
24929,Night is unusual source of enlightenment,insight,anagram,insight,INSIGHT,1
95281,"""Country mania"" is touring round in the same place",namibia,anagram,namibia,RURALIA,0
101319,Lionesses becoming silent,noiseless,anagram,noiseless,LIONISES,0
1091,"""Caine Mutiny"" originally flickered here",cinema,anagram,cinema,REELER,0
41246,Bird's heavy defeat overturned,linnet,anagram,linnet,KESTREL,0
83563,Cast supporting the Queen's Speech?,thrown,anagram,thrown,ACTORS,0
130470,Model curtsied for starters,crudites,anagram,crudites,MANNEQUIN,0
134320,How rifles may be carried by soldiers not wanted in retreat,ported,anagram,ported,ATSLUNG,0
59282,Cut off and also tie off,isolate,anagram,isolate,SEVERED,0
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,anagram,exemplar,PARADISEO,0
49815,Drunken men docked in early naval vessel,minelayer,anagram,minelayer,INEBRIATE,0
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,anagram,open wide,I WEEP,0
125621,Crew men showing little variation in strokes,stokers,anagram,stokers,ROWERS,0
66079,Is it after five or later he calls?,visitor,anagram,visitor,HEAVIES,0
134995,Name-dropping Dubliner shattered and put back together,rebuild,anagram,rebuild,RENDITE,0
134455,Pain he's suffering to get fit,inshape,anagram,in shape,ON DIET,0
90639,Furnace where link is forged,kiln,anagram,kiln,IRON,0
89291,"Cast my anchor in Norway, say",monarchy,anagram,monarchy,ANCHORS,0
56748,She surprised Alice,celia,anagram,celia,VIXEN,0
49003,Sort of nut that is loose,untie,anagram,untie,WALNUT,0
136829,"Hacking, will fear this security measure?",firewall,anagram,firewall,FIREWALL,1
11830,Doctor can sue for time to redeem foreign bills,usance,anagram,usance,REDIAL,0
81250,"With belly in unusually bad order, lain over",abdominal,anagram,abdominal,TURNEDUP,0
130168,Cosy conga (line dancing?),congenial,anagram,congenial,COZYLINE,0
12944,Abrasive doctor appears extremely narked,sandpaper,anagram,sandpaper,EMERYPAP,0
11832,Time permitted for transferring note in dubious cause,usance,anagram,usance,REMITT,0
60106,Certainly bound to be different,nodoubt,anagram,no doubt,IS ATYP,0
59209,"Sad, losing out in this sliding scale",glissando,anagram,glissando,DECRESC,0
120891,Floods spread sludge around Mile End,deluges,anagram,deluges,SILENT,0
84115,Are spades imported to make tracks?,exist,anagram,exist,ARETE,0
127215,As might be brakes of tank with coil rotation,antilock,anagram,anti lock,TANK ARMY,0
39461,"Flies parted, I pissed",diptera,anagram,diptera,MISUSED,0
60699,Indeed a complicated case gets passed over,deceased,anagram,deceased,IGNORED,0
31298,"Communication with naked ladies, say",email,anagram,email,NUDES,0
49328,Salad dressing envied,endive,anagram,endive,CRAVED,0
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,anagram,feng shui,NO MESS,0
103706,Stock owner can let charter lapse,cattlerancher,anagram,cattle rancher,SHARE HOLDER,0
134957,Old tray I renovated with skill,adroitly,anagram,adroitly,ANTIQUE,0
1454,"Entire NHS in trouble, losing ten to bruise",shiner,anagram,shiner,HARMED,0
33877,Noble brew of ale that's about right,earl,anagram,earl,EARL,1
84522,"Position of king, plus heir, ousted",rulership,anagram,rulership,THRONEROOM,0
38158,Run member of pack over,flow,anagram,flow,PACKS,0
115813,Old councillors learned somehow about a Frenchman,aldermen,anagram,aldermen,ALDERMEN,1
103476,Could it make ferret wash?,freshwater,anagram,fresh water,FERRET SOAP,0
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,anagram,escape mechanism,STAMMER AND STARE,0
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,anagram,schadenfreude,MELANCHOLICALLY,0
48600,"Monstrously stab king, and profit? It's hard to fathom",abstruse,anagram,abstruse,MONSTROUSLY,0
105648,City state ground out small business,cottageindustry,anagram,cottage industry,SINGAPORE LIMITED,0
47492,Retired Scotsman's trick,scam,anagram,scam,CARD,0
5366,Boss lost in dust storm,stud,anagram,stud,SAND,0
1030,Iberian prince angered in revolt,grandee,anagram,grandee,DONJUAN,0
122484,Head of state with guns to tame rioting,maotsetung,anagram,mao tse tung,ARM OUR,0
116450,Inexperience wears off: name gained success finally,rawness,anagram,rawness,GREENHORN,0
9207,Sat Latin translation in a lost realm of fancy,atlantis,anagram,atlantis,LOTUSLAND,0
