Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
72429,Old official partial to free verse,reeve,reeve,hidden word,POET,0
117,Girl rejected in family rebellion,beryl,beryl,hidden word,FAMILY,0
42571,Some women's double confinement - insane!,sabine,sabine,hidden word,MADNESS,0
2975,Spoken for a large section,oral,oral,hidden word,READ,0
83831,Live in red wellies?,dwell,dwell,hidden word,DWELL,1
7214,"Each hoop, but only every other ring",echo,echo,hidden word,EACH,0
99967,Get a bit of a sore back tossing it?,caber,caber,hidden word,AGONY,0
103162,Type of verse inspired by daemon or Hymen,monorhyme,monorhyme,hidden word,DAEMONIC,0
67248,Aspect of Spain no fiction's written about,facet,facet,hidden word,ANGLE,0
63174,The black arts conceal trap that's attractive,magnetic,magnetic,hidden word,CHARMING,0
89346,Some auxiliary bones,ilia,ilia,hidden word,OSSA,0
5419,Core of expedition is a long way off,afar,afar,hidden word,DOME,0
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster,oyster,hidden word,OYSTER,1
36567,PM essentially disappointed England,eden,eden,hidden word,MILD,0
11951,What Italians drink in the Mestre: Galliano,strega,strega,hidden word,LIQUO,0
138851,"Only a proportion taken from income, a tax evaded is a dangerous thing",meataxe,meat axe,hidden word,"COLD, FEAR",0
35660,Stop some French potatoes,deter,deter,hidden word,FRIES,0
37300,A contribution to please lively art supporter,easel,easel,hidden word,GRANT,0
124771,"Odd characters in the land of Schiller, the elegist?",gray,gray,hidden word,LAND,0
38332,"Salts' place - in the deep, somewhere",epsom,epsom,hidden word,SALTY,0
11554,Every real Puritan regularly offered praise to God,alleluia,alleluia,hidden word,REVERED,0
50913,Peninsula of African country with no western boundary,iberia,iberia,hidden word,KENYA,0
31019,Flower sometimes needlessly gilded,lily,lily,hidden word,GOLD,0
126046,Edges away from very pale woman,she,she,hidden word,ASH,0
74527,Part of speech that's authentic,echt,echt,hidden word,VERB,0
98579,"Like some numbers, within moderation always",rational,rational,hidden word,MODERATE,0
91974,Blades trio Arsenal bound,oars,oars,hidden word,BLAD,0
75583,He rings bell running through Essex to Norfolk,sexton,sexton,hidden word,BELL,0
