Index,Clue,Solution,Spaced_Solution,gemma_predicted,llama_solved_answer
72429,Old official partial to free verse,reeve,reeve,hidden word,ODEIC,0
117,Girl rejected in family rebellion,beryl,beryl,hidden word,LILIA,0
42571,Some women's double confinement - insane!,sabine,sabine,hidden word,NUNNER,0
2975,Spoken for a large section,oral,oral,hidden word,ORAL,1
83831,Live in red wellies?,dwell,dwell,hidden word,WADER,0
7214,"Each hoop, but only every other ring",echo,echo,hidden word,EACH,0
99967,Get a bit of a sore back tossing it?,caber,caber,hidden word,NECKS,0
103162,Type of verse inspired by daemon or Hymen,monorhyme,monorhyme,hidden word,HYMENAL,0
67248,Aspect of Spain no fiction's written about,facet,facet,hidden word,FACET,1
63174,The black arts conceal trap that's attractive,magnetic,magnetic,hidden word,SATANIC,0
89346,Some auxiliary bones,ilia,ilia,hidden word,RIBS,0
5419,Core of expedition is a long way off,afar,afar,hidden word,FARO,0
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster,oyster,hidden word,CASANO,0
36567,PM essentially disappointed England,eden,eden,hidden word,MEAT,0
11951,What Italians drink in the Mestre: Galliano,strega,strega,hidden word,ESPRESSO,0
138851,"Only a proportion taken from income, a tax evaded is a dangerous thing",meataxe,meat axe,hidden word,A BIT,0
35660,Stop some French potatoes,deter,deter,hidden word,HALT,0
37300,A contribution to please lively art supporter,easel,easel,hidden word,DONOR,0
124771,"Odd characters in the land of Schiller, the elegist?",gray,gray,hidden word,ODDS,0
38332,"Salts' place - in the deep, somewhere",epsom,epsom,hidden word,SEAB,0
11554,Every real Puritan regularly offered praise to God,alleluia,alleluia,hidden word,HYMNALS,0
50913,Peninsula of African country with no western boundary,iberia,iberia,hidden word,SOMAL,0
31019,Flower sometimes needlessly gilded,lily,lily,hidden word,LILY,1
126046,Edges away from very pale woman,she,she,hidden word,FADE,0
74527,Part of speech that's authentic,echt,echt,hidden word,VERB,0
98579,"Like some numbers, within moderation always",rational,rational,hidden word,EVENLY,0
91974,Blades trio Arsenal bound,oars,oars,hidden word,RASE,0
75583,He rings bell running through Essex to Norfolk,sexton,sexton,hidden word,CURFE,0
58154,Albatrosses both taking turn to incubate brood,obsess,obsess,hidden word,ALTRAS,0
5047,Part of Roman villa block,anvil,anvil,hidden word,ALAES,0
1876,Deity some see as a tyrant,satyr,satyr,hidden word,SATAN,0
141168,"Round openings with no actual fit, regularly",oculi,oculi,hidden word,HOLES,0
6095,Boundaries some defend successfully,ends,ends,hidden word,AMPS,0
134993,Language of medic (a junior),cajun,cajun,hidden word,LATIN,0
36471,Plant when season's not begun,inter,inter,hidden word,SEEDS,0
122067,"Bring back some relic, if use relates to a Muslim",sufic,sufic,hidden word,REUSE,0
8710,Saw road agent removing wings,adage,adage,hidden word,STAGE,0
25450,"Rusbridger cycled in, worn down",eroded,eroded,hidden word,TIRED,0
13700,Where to get meat in set menu,estaminet,estaminet,hidden word,BUTCHER,0
128567,Something quite clear can easily become mysterious,arcane,arcane,hidden word,LUCID,0
8750,Reason some complain ferociously,infer,infer,hidden word,RAVES,0
82714,"Covered, so wings off for Cyclades",clad,clad,hidden word,ISLE,0
50045,"Rounds with ham, more sandwiches",ammo,ammo,hidden word,MEAT,0
10189,"Dye brown paper, cutting top and bottom",anil,anil,hidden word,TANS,0
17796,One has got to go out in New Zealand,otago,otago,hidden word,MAORI,0
11421,Involving one's stomach in following a strict diet,gastric,gastric,hidden word,GASTRO,0
48837,Section of church used by Paisley,aisle,aisle,hidden word,NAVES,0
31710,What's this? Oddly coloured?,clue,clue,hidden word,TEAS,0
83991,Some sang harmoniously in the Buddhist community,sangha,sangha,hidden word,SANGHA,1
75473,Exclude being served by rude baristas,debar,debar,hidden word,BANES,0
50777,Bird found in or near Headingley,rhea,rhea,hidden word,LEED,0
53773,Crater here buried in decadence,aden,aden,hidden word,LAVA,0
104877,It may be found in winter sportsmen's kit,ski,ski,hidden word,ICE,0
100107,Olympic champion raised kids in nearby house,ennis,ennis,hidden word,TORA,0
123111,Tailors are not entirely involved in such matters,sartorial,sartorial,hidden word,SEAMSTRESS,0
135178,Banks excluded from data legislation,act,act,hidden word,GDPR,0
81778,Undesirable movement practically contained,tic,tic,hidden word,RAT,0
713,Conspicuous poverty traps,overt,overt,hidden word,SNARE,0
44701,She showed some initiative in revolution,evita,evita,hidden word,EVITA,1
136278,Wet chamois tends to gather,moisten,moisten,hidden word,SHAMOIS,0
117260,Yours only houses a porcupine,urson,urson,hidden word,QUIPS,0
55141,Cruciverbalist's sidekick with some incredible wisdom,lewis,lewis,hidden word,ORACLE,0
28829,"Furthermore, lacks great enthusiasm for measure",therm,therm,hidden word,ANDAS,0
17799,Protagonists content here in New Zealand,otago,otago,hidden word,HEROS,0
38882,Asian city of fragrancy,agra,agra,hidden word,ODOR,0
59338,"Plover, nestling, swallows, eagle",erne,erne,hidden word,ERNE,1
5173,Stalag ground is filled with hostility,aggro,aggro,hidden word,HATES,0
78001,Mission in a real amount of difficulty,alamo,alamo,hidden word,TASKS,0
114238,Resting places used by Francis of Assisi,sofas,sofas,hidden word,NUNES,0
71731,Hunter occasionally bagged fantastic bird,roc,roc,hidden word,EMU,0
26867,Olympic ultimatum has weight in China,picul,picul,hidden word,BEIJ,0
42138,What that enemy harbours?,hate,hate,hidden word,HATE,1
55872,Code for the thick-headed,ethic,ethic,hidden word,MORON,0
29453,They clip specific items studio requires after vacation,scissors,scissors,hidden word,CUECLIPS,0
31862,Famous item in entrants' pockets,eminent,eminent,hidden word,BADGES,0
24572,Animal a wigeon's caught in the country,malawi,malawi,hidden word,GOOSE,0
22918,Club in which the password is courage,disco,disco,hidden word,NERVE,0
105460,Dean captures heart of chorister,inge,inge,hidden word,CANON,0
44192,Grave words from some decrepit aphorist,epitaph,epitaph,hidden word,EPITAPH,1
16520,Song in which black sheep gets shorn,aria,aria,hidden word,BAAS,0
72094,The crux of recent research,centre,centre,hidden word,COREOF,0
27920,Some odds never to back?,evens,evens,hidden word,EVENS,1
34779,Expand section of integral network retrospectively,enlarge,enlarge,hidden word,ENLARG,0
47414,Hut of iron is sent for,nissen,nissen,hidden word,SHANT,0
131513,Some contradict umpire's ruling,dictum,dictum,hidden word,APPEAL,0
55091,Trainee as part of a performing act in the auditorium,intern,intern,hidden word,STAGER,0
113442,Inadequate hatless uncle,lender,lender,hidden word,INADET,0
96989,Book up a little table in a diner,daniel,daniel,hidden word,RESERV,0
104170,Mistake is nonsense - rub out,bish,bish,hidden word,ERAS,0
32377,"What's in your head, if not entirely wide awake",idea,idea,hidden word,BRAA,0
22685,"Girl in passageway stopping short, looking back",ella,ella,hidden word,LASS,0
6299,"Partly train a director to cope with bottom of recession, perhaps",nadir,nadir,hidden word,ENDUE,0
94477,Sam Weller's face doesn't appear with a message,thames,thames,hidden word,EMAIL,0
55226,Give consent in Gretna Green,agree,agree,hidden word,ELOPE,0
123330,Huge numbers in India holding rupees in central parts,crores,crores,hidden word,MILLION,0
82583,"Start from birds in general, one in particular",owl,owl,hidden word,AVI,0
108151,Study in selective education by ...,coningsby,coningsby,hidden word,OXFORD,0
71682,"""A pathological sac"", said Sister, with no hesitation",cyst,cyst,hidden word,CYST,1
36352,Employed in house design,used,used,hidden word,USED,1
98065,Not those from the area around Dover,these,these,hidden word,LOCAL,0
307,Berliner's odd bits of cheese,brie,brie,hidden word,EDAM,0
17992,Blend or brew or fictional small family member?,borrower,borrower,hidden word,TEABAGS,0
121519,Party leads to chaos after boozy antics listed,cabal,cabal,hidden word,MESSY,0
125101,She returns in an instant,nina,nina,hidden word,EVES,0
15501,Some cauliflower from cholesterol-free lunch left over,floret,floret,hidden word,FLORE,0
16522,Melody featured in Enigma Variations?,aria,aria,hidden word,ENIG,0
99223,What you encounter in nuclear theory is dull,earthbound,earthbound,hidden word,NEUTRONS,0
1183,Wretch in peasant garb removing top,louse,louse,hidden word,SERF,0
65983,Some American depositors backed this inventor,otis,otis,hidden word,EDIS,0
19849,Resident in area luckily unaffected,real,real,hidden word,INNS,0
71415,Mountain dweller coming in without more ado,oread,oread,hidden word,YETIS,0
128936,"Some bits pong, especially bums",sponges,sponges,hidden word,BOTTOM,0
100277,Old tape in use to maintain clear reproduction,incle,incle,hidden word,REUSE,0
117208,Addition to passport not altogether advisable,visa,visa,hidden word,VISA,1
7714,Fighter for crown in Punic or Napoleonic wars,unicorn,unicorn,hidden word,GLADIA,0
34023,Capital investment in brothels in Kiev,helsinki,helsinki,hidden word,INVESTS,0
3557,Europe set against taking in former currency,peseta,peseta,hidden word,EUROS,0
5178,"""Nul points"" in the Brazil-Chile match",zilch,zilch,hidden word,ZEROS,0
73395,"It's needed by diplomat, actually",tact,tact,hidden word,TACT,1
12702,This is a distinguishing feature of a hurtful type,sadist,sadist,hidden word,STING,0
73827,Examining some money in great detail,eying,eying,hidden word,STUDY,0
59334,Bird of the wilderness,erne,erne,hidden word,IBIS,0
45768,Not so busy class enthralled by Beatles songs,lesson,lesson,hidden word,FABFO,0
36966,Fight in a Somerset town,setto,set to,hidden word,SET TO,1
33789,Fairy getting some Yorkshire pudding to rise,peri,peri,hidden word,ELFI,0
25459,Famine departs this world,dearth,dearth,hidden word,DIEOFF,0
19458,Manx bird's style,chic,chic,hidden word,ISLE,0
134541,Ogle diva regularly? I see plays here,oldvic,old vic,hidden word,EYE PIE,0
137186,Part of grant is ring-fenced for some weeks,tisri,tisri,hidden word,TERM,0
71110,Productive element in electric heater,rich,rich,hidden word,IONT,0
64607,Group of stars in earthy drama,hydra,hydra,hidden word,CASTS,0
7418,Language from overseas,erse,erse,hidden word,LING,0
109475,"Showing some Picasso on a screen, once",assoonas,as soon as,hidden word,ON TV,0
45512,Forecast for fish,orfe,orfe,hidden word,SOLE,0
87033,"Some tinted spectacles have acrylic rims, only they must be red",crimson,crimson,hidden word,ROSEAT,0
58080,Terrifying regular visitors to Dorset and Leeds,dreaded,dreaded,hidden word,RAIDERS,0
8089,Old South American driving endlessly?,inca,inca,hidden word,INCA,1
4143,"Land in the Minch, perhaps",inch,inch,hidden word,ISLE,0
113572,Amount he regularly gives mum,mute,mute,hidden word,ALMS,0
58628,"In Shiraz, Edwin got knocked down",razed,razed,hidden word,ELAND,0
67352,Russian girl is ashamed to part,sasha,sasha,hidden word,IVANA,0
134510,"Parachutist maybe in battle region, not the first or last",lander,lander,hidden word,ENEMY,0
23605,Substitute bankers at Zurich centre,ersatz,ersatz,hidden word,STAND,0
99736,He finds fault in fancy nicknames,cynic,cynic,hidden word,CRIES,0
10869,Brilliance of a single amethyst,gleam,gleam,hidden word,AMETH,0
43078,Torture's not even legitimate,TRUE,TRUE,hidden word,PAIN,0
47209,Many inherit from one retiring,hermit,hermit,hidden word,HEIRS,0
29701,Poem makes one fairly rich? Not entirely,lyric,lyric,hidden word,EPIC,0
94674,Port (Shanghai) fabricates houses,haifa,haifa,hidden word,HAVEN,0
52782,Flower of the Bronx,ebro,ebro,hidden word,YORK,0
20051,In my absence a member is seen in a cautious light,amber,amber,hidden word,AWAIT,0
89065,"Ethelred evidently reveals it, despite his reputation",rede,rede,hidden word,IDAS,0
114001,"From within deer, a female deer",hind,hind,hidden word,DOE,0
139267,Gutless gangster mugs shoppers,grasses,grasses,hidden word,MUGGER,0
118232,Rushed a hideout,hied,hied,hidden word,LAIR,0
93470,Reciprocal element reflected in typical autumn fashion,mutual,mutual,hidden word,REVERS,0
21437,In my sleep I composed a long poem,epic,epic,hidden word,EPIC,1
69232,Some found Eton a terrific blast!,detonate,detonate,hidden word,EXETER,0
69417,"Norse collection needed, say, regularly",edda,edda,hidden word,EDDA,1
35015,"Brought up without the social graces, I maintained harmony",union,union,hidden word,UNITA,0
35100,Chaos could be regarded as fun,snafu,snafu,hidden word,ANARCHY,0
79313,"Poet certified Prisoner of Zenda, up or out",ezrapound,ezra pound,hidden word,RUDYARD,0
119094,Hint that simply pointless,imply,imply,hidden word,HINTS,0
69390,Some peculiar denizens of the forest,arden,arden,hidden word,ELVES,0
9526,Imagine Dr West coming back!,dream,dream,hidden word,DREAM,1
44433,Prognostications provided by women's magazine,omens,omens,hidden word,OMENS,1
90619,Partly dishonest one remains a potential executioner,stoner,stoner,hidden word,HANGMAN,0
44993,Cheeky? Section of arena talking,natal,natal,hidden word,SASSY,0
105167,Frontiersman finds the front line at regular intervals,bowie,bowie,hidden word,SCOUT,0
12184,Spot in Hautes-Pyrénées,espy,espy,hidden word,IDAT,0
12711,Where more than one rider is seen in A & E,tandem,tandem,hidden word,AMBULS,0
39611,Drink supplied in plastic container,asti,asti,hidden word,TEAS,0
75368,Divine seen in windows etc,dowse,dowse,hidden word,ANGEL,0
89797,That's how not to be hidden,show,show,hidden word,OPEN,0
94588,Serbia sedulously protecting partisan,biased,biased,hidden word,BELGRADE,0
135424,Regularly scrubbing toughened moulding,ogee,ogee,hidden word,ERAS,0
120054,"Group of islands off, mainly, New York perhaps ...",orkney,orkney,hidden word,OFFSHORE,0
28882,Subject of the Middle East ...,theme,theme,hidden word,ARABS,0
71298,One who wrote odes in a church or a cemetery,horace,horace,hidden word,POETIC,0
7623,"Found in morgues, some who were shot",guess,guess,hidden word,CORPS,0
94419,Bacterium in silo certain to come up,ecoli,e coli,hidden word,ALAS,0
134835,Guess what he or I secretly collect!,theorise,theorise,hidden word,HITHER,0
70556,Press used by Turgenev,urge,urge,hidden word,IRIS,0
64049,Fine instrument dramatist uses,amati,amati,hidden word,LYRE,0
4820,"Sister's child needs some condemnation, ie censure",niece,niece,hidden word,NEICE,0
272,Become engaged in some sharp practice,mesh,mesh,hidden word,USE,0
8231,Costermonger's duck,scoter,scoter,hidden word,BARROW,0
53339,Did her arrival made Browning homesick?,april,april,hidden word,ELIZ,0
136717,"Our nation oddly omitted to, in the past",unto,unto,hidden word,ERAS,0
28046,Wool producer in the Western Isles,ewe,ewe,hidden word,RAM,0
47495,Fiddle starts to sound clear as mud,scam,scam,hidden word,MIRE,0
13022,In dire necessity find personification of peace for Greeks?,irene,irene,hidden word,EIREN,0
72499,Cocoa and chocolate are one originally,cacao,cacao,hidden word,BEANS,0
127107,"Bloodhound, I think, ignored trash",shlock,shlock,hidden word,HOUNDI,0
138130,"Remains for ever in mind, we'll swear",indwells,indwells,hidden word,REMEMBER,0
110880,Baffled by sensational wordplay with nine letters missing,ataloss,at a loss,hidden word,AT A LOSS,1
37914,Concert piece not getting an encore,once,once,hidden word,SONG,0
73151,Iceberg holds back diver,grebe,grebe,hidden word,BERGS,0
56774,Bird fluttering right to left in Chingford?,goldfinch,goldfinch,hidden word,CHIFFON,0
98764,"Outgoing type of regular mermaid girl, eh?",emigre,emigre,hidden word,SIRENA,0
114559,Telescopes of universities partially looking up for them,ufos,ufos,hidden word,EYES,0
30096,"Penned by Delany, Longfellow's material",nylon,nylon,hidden word,POEMS,0
61042,Launch a steamship that's partly corrupt,unchaste,unchaste,hidden word,INITIATE,0
135668,"Middle Eastern nirvana in it's elapsed, somewhat in recession",palestinian,palestinian,hidden word,UTOPIANISM,0
550,The suffering a preacher tries to hide,ache,ache,hidden word,AGONY,0
94761,Theft from canonized studio,stealing,stealing,hidden word,LARCENY,0
22964,Some telephones transmit direct,honest,honest,hidden word,LANDS,0
101117,Was book's content order intended to be restrictive?,asbo,asbo,hidden word,WASE,0
25691,Record some inadvertent errors,enter,enter,hidden word,SLIPS,0
67811,Representation in holding company,icon,icon,hidden word,IMAGE,0
88178,Some characters in Tristram Shandy are flipping clever!,smart,smart,hidden word,WITTY,0
38045,US composer into percussive sounds,ives,ives,hidden word,IRIS,0
116829,Query the manner in which I turn red,erythema,erythema,hidden word,INQUIRE,0
124757,Endless succession of agency clerks,cycle,cycle,hidden word,QUEUE,0
29978,Dramatist arranging central part for top actor,star,star,hidden word,OTTO,0
130272,Pansy among daffodils is symbolic,sissy,sissy,hidden word,VIOLA,0
67716,"From Istanbul, a way of getting to African city",bulawayo,bulawayo,hidden word,ISTANA,0
24803,Keep going in Felixtowe Road,tower,tower,hidden word,STAY,0
13154,Apparent disgust often betrays enthusiasm,gusto,gusto,hidden word,FAKE,0
71144,"Some papers are amusing, to some extent",ream,ream,hidden word,RAGS,0
82285,A little animal taken in island,malta,malta,hidden word,PETIT,0
111529,A venerable name in our illustrious past,bede,bede,hidden word,ERAS,0
6979,"Wreck's sunk into ground, obviously",undo,undo,hidden word,OBIA,0
19735,Gibbon's ailing somewhat due to small growth,bonsai,bonsai,hidden word,APEXES,0
37347,"Some styles return, returning briefly",tersely,tersely,hidden word,ERASSE,0
122252,Where to find swimmers showing promise in class on regular basis,lidos,lidos,hidden word,POOLS,0
138773,Local London football team spurned by Poles,areal,areal,hidden word,ARSEN,0
59616,Vessels a Scottish poet topped,urns,urns,hidden word,LOCH,0
65222,Admits top of hanger is missing,allows,allows,hidden word,OWNED,0
17174,He composed some enjoyable harmonies,lehar,lehar,hidden word,HAYDN,0
72114,Amplifier to help retail a service,laser,laser,hidden word,BOOST,0
7350,First drops in wood more than adequate,ample,ample,hidden word,ENOW,0
138913,Craving for flour - is it regular?,lust,lust,hidden word,NEED,0
46005,"Line drawn in pub, no cheap drinks",oche,oche,hidden word,RULE,0
25725,It's commonly wrong in a telegram or a letter,amoral,amoral,hidden word,ERRATA,0
116488,How church worker can offer praise?,chant,chant,hidden word,CLERIC,0
43975,Some bandit took the same again,ditto,ditto,hidden word,REPEAT,0
10120,"Essential for galop, metronome's rising speed",tempo,tempo,hidden word,TEMPO,1
87682,Anonymous donor makes an entrance,door,door,hidden word,ANON,0
24337,Got off just over halfway through dismal government-free existence,reality,reality,hidden word,UTOPIAN,0
674,"Culottes Lafayette pulled up somewhat too tight, hence his voice",falsetto,falsetto,hidden word,FALSETTO,1
33905,Explosive component of Ulster on time? On the contrary,nitre,nitre,hidden word,TIMER,0
132308,Somewhat minimalist hat? I think I expected more!,isthatit,is that it,hidden word,IT IS I,0
134737,They succeed in their schemes,heirs,heirs,hidden word,PLOTS,0
65854,Extract from Kafka or Tallis that comes straight from the heart,aorta,aorta,hidden word,AORTA,1
26075,Some colleges say education is tried,essayed,essayed,hidden word,TRIED,0
57004,esitate with time to turn aside,avert,avert,hidden word,STERN,0
99868,Aunt Georgia oddly lacking internal organs,uteri,uteri,hidden word,GEORG,0
47183,Grant is held up by student peccadilloes,accept,accept,hidden word,SINUS,0
5649,A bit of a spur some hero welcomes,rowel,rowel,hidden word,NEEDS,0
62265,Group going in for ultra-vision,travis,travis,hidden word,XRAYS,0
48088,Tesco ragout goes down well in Paris,escargot,escargot,hidden word,BOUEABS,0
127479,Finishing touches in sketch you made - needs colours,hues,hues,hidden word,HUES,1
77672,In Strasbourg I must accept one follower of May,june,june,hidden word,AMIE,0
16499,"Instead, ancestral afternoon entertainment is provided",teadance,tea dance,hidden word,IN LIEU,0
9451,Up in arms freebooter is beheaded,irate,irate,hidden word,MUTI,0
99951,Arab statesman involved in womanising,omani,omani,hidden word,EMIR,0
19187,See edges taken off by the ears,otic,otic,hidden word,EARS,0
65515,"Move unexpectedly, taking nothing from the best room",lunge,lunge,hidden word,LURCH,0
18270,Portion of tandoori cottage cheese,ricotta,ricotta,hidden word,PANEER,0
81517,"Protest, showing some degenerate tarts no mercy in return",remonstrate,remonstrate,hidden word,REMONSTRATE,1
86380,Logic duo displayed in volunteer's mission statement,icouldgo,i could go,hidden word,ISAM,0
15626,Rome's fateful date in Gobi desert,ides,ides,hidden word,IDES,1
57190,Clouds rising from Maghrib mines,nimbi,nimbi,hidden word,FOGS,0
11686,Never let backs go round the team,eleven,eleven,hidden word,NEVER,0
69007,Some fanciful name for part of the arm,ulna,ulna,hidden word,ULNA,1
111934,Take advantage of 'obgoblin's stockings,impose,impose,hidden word,USURP,0
8440,Provision of much else as well,chelsea,chelsea,hidden word,PLUS,0
4510,Type of paste used by salmon daily,almond,almond,hidden word,PASTA,0
45993,Flag some citizens ignore,ensign,ensign,hidden word,WAVERS,0
