Index,Clue,Solution,Spaced_Solution,gemma_predicted,gemma_solved_answer
77103,"In Germany, thin girls can eat this!",anything,anything,container,ANYTHING,1
42357,Coarse-sounding son's in the wilderness,dessert,dessert,container,DESSERT,1
1059,The fellow apprehending one felon,thief,thief,container,COPPER,0
21744,Last year's leaders entertained by regular journalist,evelyn,evelyn,container,EVELYN,1
3077,Butcher breaks bent pan,skillet,skillet,container,HAMMERS,0
39603,Bend down to king in Chesterfield,crouch,crouch,container,STOOPS,0
116403,"In the chair, restraining Democrat under influence of drugs",sedated,sedated,container,RESTRAIN,0
139673,Pays for food after treasurer cleared out,treats,treats,container,DINERS,0
8288,Feel sorry when soldiers get to guard Roundhead,regret,regret,container,REGRET,1
30362,Temporary work welcomed by young boxer?,popup,pop up,container,STEP UP,0
124142,Country girl briefly eating duck,laos,laos,container,LAOS,1
25715,Noble's wayward cousin hugged by retired transvestite,viscount,viscount,container,BARONESS,0
132156,Range of dumps accommodating virile blokes by day,themendips,the mendips,container,THEMENDIPS,1
46777,Country song about American getting back from Detroit,austria,austria,container,ALABAMA,0
56548,Fooled by absorbing Resistance story,hardtimes,hard times,container,HARDTIMES,1
107238,Bar containing drop of liquid comfort,salve,salve,container,SALVE,1
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity,inhumanity,container,IMMORALITY,0
139462,"Began turning up carrying cargo, initially of spoils",detracts,detracts,container,REWARDS,0
43900,Identifying pattern that's bound to squash one irritant,signature,signature,container,SIGNATURE,1
17405,Vivacity normal in retreating deer,sparkle,sparkle,container,SPARKLE,1
89801,Hood hardly ever appears over nothing,scarface,scarface,container,MASKERADE,0
114209,"Discreet, caught in bad fault",tactful,tactful,container,TACTFUL,1
115851,Struggle across line to finish,complete,complete,container,OBSTRUCT,0
37022,Wrinkles between features in a premature state,earliness,earliness,container,IMMATURITY,0
101215,Come down to earth about p-payment for a sweet,toffeeapple,toffee apple,container,TOFFEEAPPLE,1
13238,Motorists seen in distance - it's inexplicable,miracle,miracle,container,MIRACLE,1
26545,I mostly remain in agreement in believing in God,deistical,deistical,container,THEISTICALLY,0
112205,Displace journalist that has complaint about energy,edgeout,edge out,container,PUSHIN,0
4871,Charming and delicate female seen in reflection of river,elfin,elfin,container,FAIRY,0
54355,"Writer, a good man, seen inside foreign restaurant",bistro,bistro,container,CAFÉTS,0
549,Pain beginning to hurt in one,ache,ache,container,BURN,0
100634,Poem about mountains given top grade -- sparkling stuff,orangeade,orangeade,container,MOUNTAINEER,0
131081,"In a maddening way, shrewd Brown standing inside",frustratingly,frustratingly,container,MISUNDERSTANDING,0
31731,"Wild duck swallows English dram, if dry",teetotal,teetotal,container,TEETOTAL,1
39851,He fails to show up the defect in the return pipe,defaulter,defaulter,container,ABANDONER,0
91842,Spending allowance to be cut in move,budge,budge,container,BUDGE,1
90127,Giving medical treatment to stray pet held,dosing,dosing,container,DOSING,1
43685,Player with no time for a bet,fluter,fluter,container,GAMING,0
134058,Harry and Henry nabbed by someone not in uniform,chivvy,chivvy,container,CHIVVY,1
120426,Prime made out to include another,seven,seven,container,FIRST,0
44396,No time for Mister Scrooge,miser,miser,container,STING,0
14311,Plant with a sting stuck in the chimney,laburnum,laburnum,container,HEMLOCK,0
36078,"Soldier's gear, which stays at home",tinhat,tin hat,container,ARMOUR,0
119078,"Time off, stuff punctuated by irregular pay",gapyear,gap year,container,GAPYEAR,1
