Index,Clue,Solution,Spaced_Solution,gemma_predicted,gemma_solved_answer
24929,Night is unusual source of enlightenment,insight,insight,anagram,INSIGHT,1
95281,"""Country mania"" is touring round in the same place",namibia,namibia,anagram,STATION,0
101319,Lionesses becoming silent,noiseless,noiseless,anagram,NOISELESS,1
1091,"""Caine Mutiny"" originally flickered here",cinema,cinema,anagram,CINEMA,1
41246,Bird's heavy defeat overturned,linnet,linnet,anagram,TROGON,0
83563,Cast supporting the Queen's Speech?,thrown,thrown,anagram,THROWN,1
130470,Model curtsied for starters,crudites,crudites,anagram,TYPECAST,0
134320,How rifles may be carried by soldiers not wanted in retreat,ported,ported,anagram,STRAPS,0
59282,Cut off and also tie off,isolate,isolate,anagram,SEVERAL,0
142364,Ideal version of Mexican pearl one's able to 'disappear',exemplar,exemplar,anagram,PLATONIC,0
49815,Drunken men docked in early naval vessel,minelayer,minelayer,anagram,IRONCLADS,0
136950,Let's see those teeth beginning to decay - I weep on failing to contain it,openwide,open wide,anagram,OPEN WIDE,1
125621,Crew men showing little variation in strokes,stokers,stokers,anagram,OARSMEN,0
66079,Is it after five or later he calls?,visitor,visitor,anagram,VISITOR,1
134995,Name-dropping Dubliner shattered and put back together,rebuild,rebuild,anagram,REBUILT,0
134455,Pain he's suffering to get fit,inshape,in shape,anagram,IN AGONY,0
90639,Furnace where link is forged,kiln,kiln,anagram,KILN,1
89291,"Cast my anchor in Norway, say",monarchy,monarchy,anagram,SCAYLINE,0
56748,She surprised Alice,celia,celia,anagram,CELIA,1
49003,Sort of nut that is loose,untie,untie,anagram,CRAZY,0
136829,"Hacking, will fear this security measure?",firewall,firewall,anagram,FIREWALL,1
11830,Doctor can sue for time to redeem foreign bills,usance,usance,anagram,ESCUDO,0
81250,"With belly in unusually bad order, lain over",abdominal,abdominal,anagram,RECLINING,0
130168,Cosy conga (line dancing?),congenial,congenial,anagram,CONGENIAL,1
12944,Abrasive doctor appears extremely narked,sandpaper,sandpaper,anagram,SANDPAPER,1
11832,Time permitted for transferring note in dubious cause,usance,usance,anagram,NUANCE,0
60106,Certainly bound to be different,nodoubt,no doubt,anagram,NO DOUBT,1
59209,"Sad, losing out in this sliding scale",glissando,glissando,anagram,DOWNSCALE,0
120891,Floods spread sludge around Mile End,deluges,deluges,anagram,DELUGES,1
84115,Are spades imported to make tracks?,exist,exist,anagram,RAILS,0
127215,As might be brakes of tank with coil rotation,antilock,anti lock,anagram,HARD COIL,0
39461,"Flies parted, I pissed",diptera,diptera,anagram,DIPTERA,1
60699,Indeed a complicated case gets passed over,deceased,deceased,anagram,OVERPASS,0
31298,"Communication with naked ladies, say",email,email,anagram,RADIO,0
49328,Salad dressing envied,endive,endive,anagram,VINAIG,0
102936,"No good in house that lacks order, if untidy - might this help?",fengshui,feng shui,anagram,TIDY UP,0
103706,Stock owner can let charter lapse,cattlerancher,cattle rancher,anagram,CATTLE DEALER,0
134957,Old tray I renovated with skill,adroitly,adroitly,anagram,ARTISTRY,0
1454,"Entire NHS in trouble, losing ten to bruise",shiner,shiner,anagram,ENHANCE,0
33877,Noble brew of ale that's about right,earl,earl,anagram,EARL,1
84522,"Position of king, plus heir, ousted",rulership,rulership,anagram,HIERARCHY,0
38158,Run member of pack over,flow,flow,anagram,FLOW,1
115813,Old councillors learned somehow about a Frenchman,aldermen,aldermen,anagram,ALDERMEN,1
103476,Could it make ferret wash?,freshwater,fresh water,anagram,CLEAN SWEEP,0
99052,Means of suppressing dreadful shame and panic - seem cold,escapemechanism,escape mechanism,anagram,SMOKE SCREEN,0
45473,"Found what's potentially sad ""fun"" and cheered, showing this",schadenfreude,schadenfreude,anagram,UNCHEERINESS,0
