Index,Clue,Solution,Spaced_Solution,gemma_predicted
112931,Dames popular with sailors?,broads,broads,double definition
39500,A weightwatchers' congress?,diet,diet,double definition
47168,"Very cutting, but inviting riposte",twoedged,two edged,double definition
25643,Academic sinecures?,easychairs,easy chairs,double definition
47761,It's suitable in public,exoteric,exoteric,double definition
66596,Advertising in advance,promotion,promotion,double definition
104275,No good at making pudding,duff,duff,double definition
124178,Mason's fermented juice?,perry,perry,double definition
30402,One of the Stones appearing worn - affected by the drink?,pebble,pebble,double definition
53157,What Mrs Sprat might do with rabbit,chewthefat,chew the fat,double definition
36723,Carry on in the theatre,operate,operate,double definition
26394,Temporarily relocate help,second,second,double definition
51064,Coming to no conclusion,endless,endless,double definition
2115,Bird of prey,raven,raven,double definition
112643,Found out such appliances are dangerous,unearthed,unearthed,double definition
40199,Doubt one may be apprehended,suspect,suspect,double definition
41758,Second in importance,moment,moment,double definition
137544,Grouped together with a retired joiner,banded,banded,double definition
75815,Make an effective stab at providing a short survey,runthrough,run through,double definition
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda,rotunda,double definition
87379,"A slippery customer, the winter sportsman!",skier,skier,double definition
63736,Knock cap off sleeping policeman,hump,hump,double definition
27894,Reportedly waited around grave,staid,staid,double definition
47499,Put up rainwear in a swindle,scam,scam,double definition
33300,"Write, for instance, ""to rise"" as your answer?",getup,get up,double definition
134309,Holder and others sounded greatly impressed,slayed,slayed,double definition
51733,Where accidents are affecting the roses,blackspot,black spot,double definition
91152,"In tight spot, swear!",plight,plight,double definition
46199,Cooked potato with cold joint,chip,chip,double definition
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes,palindromes,double definition
35372,Enormous scratch by the ear,great,great,double definition
60290,Secure forward position,lock,lock,double definition
98299,It is difficult being so sensitive,ticklish,ticklish,double definition
116464,"Having broken a personal record, though on the decline",pastonesbest,past ones best,double definition
6256,Scandal in the sluice,watergate,watergate,double definition
45346,Relish an Indian addition to the meal,chutney,chutney,double definition
121944,Quoted poet sounds like Mary's garden,shelly,shelly,double definition
50807,A reward for the taking?,priceononeshead,price on ones head,double definition
134682,Cheers solvers are barred from getting,youshouldnthave,you shouldnt have,double definition
91690,Performance of capital detachment,execution,execution,double definition
50572,Free husband,save,save,double definition
38373,Small and delicate,slight,slight,double definition
29441,Calm North Yorkshire town,settle,settle,double definition
34965,Jack's screwdriver?,propeller,propeller,double definition
3128,"Clifftop home creepy, we hear?",eyrie,eyrie,double definition
119926,Warning to speculators on gravy train ?,mindthegap,mind the gap,double definition
98100,A marvellous idea taking off in dream,aspiration,aspiration,double definition
46325,It's cryptic woman's paper,tissue,tissue,double definition
40368,Make new arrangements for the holiday place,resort,resort,double definition
41398,Acts as executor - some teachers want to,beheads,beheads,double definition
22648,The end of the New Testament,amen,amen,double definition
52288,Rubber reported by my sister in Paris?,masseur,masseur,double definition
2591,A representative business,agency,agency,double definition
62314,Snakes top their opposites,adders,adders,double definition
51626,A hard thing to catch,nail,nail,double definition
93701,Where people go in for charms,entrances,entrances,double definition
102896,Soul music?,spiritual,spiritual,double definition
30758,The keynote to good health?,tonic,tonic,double definition
12774,Dragged to the altar?,towed,towed,double definition
87168,Confinement which sounds yellow?,custody,custody,double definition
28479,A building in Slough,shed,shed,double definition
129531,Emission - tax to the limit,exhaust,exhaust,double definition
