Index,Clue,Solution,Spaced_Solution,gemma_predicted,llama_solved_answer
112931,Dames popular with sailors?,broads,broads,double definition,LADIES,0
39500,A weightwatchers' congress?,diet,diet,double definition,DIET,1
47168,"Very cutting, but inviting riposte",twoedged,two edged,double definition,RAP ID,0
25643,Academic sinecures?,easychairs,easy chairs,double definition,IVY LEAGUE,0
47761,It's suitable in public,exoteric,exoteric,double definition,DECENTLY,0
66596,Advertising in advance,promotion,promotion,double definition,PREVIEW,0
104275,No good at making pudding,duff,duff,double definition,BADU,0
124178,Mason's fermented juice?,perry,perry,double definition,ALESS,0
30402,One of the Stones appearing worn - affected by the drink?,pebble,pebble,double definition,ROLLS,0
53157,What Mrs Sprat might do with rabbit,chewthefat,chew the fat,double definition,EAT A TIN,0
36723,Carry on in the theatre,operate,operate,double definition,ACTING,0
26394,Temporarily relocate help,second,second,double definition,RELOC,0
51064,Coming to no conclusion,endless,endless,double definition,ENDLESS,1
2115,Bird of prey,raven,raven,double definition,EAGLE,0
112643,Found out such appliances are dangerous,unearthed,unearthed,double definition,DISCOVER,0
40199,Doubt one may be apprehended,suspect,suspect,double definition,SUSPECT,1
41758,Second in importance,moment,moment,double definition,NECKTO,0
137544,Grouped together with a retired joiner,banded,banded,double definition,UNITED,0
75815,Make an effective stab at providing a short survey,runthrough,run through,double definition,TRY AT,0
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda,rotunda,double definition,READTO,0
87379,"A slippery customer, the winter sportsman!",skier,skier,double definition,ICERS,0
63736,Knock cap off sleeping policeman,hump,hump,double definition,SLEEP,0
27894,Reportedly waited around grave,staid,staid,double definition,MAUSO,0
47499,Put up rainwear in a swindle,scam,scam,double definition,DUPE,0
33300,"Write, for instance, ""to rise"" as your answer?",getup,get up,double definition,TO BE,0
134309,Holder and others sounded greatly impressed,slayed,slayed,double definition,AWEDLOT,0
51733,Where accidents are affecting the roses,blackspot,black spot,double definition,GARDEN,0
91152,"In tight spot, swear!",plight,plight,double definition,PINCHES,0
46199,Cooked potato with cold joint,chip,chip,double definition,MASHY,0
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes,palindromes,double definition,MESHUGGA,0
35372,Enormous scratch by the ear,great,great,double definition,MASSY,0
60290,Secure forward position,lock,lock,double definition,ABET,0
98299,It is difficult being so sensitive,ticklish,ticklish,double definition,TOOSENS,0
116464,"Having broken a personal record, though on the decline",pastonesbest,past ones best,double definition,ON THE WANE,0
6256,Scandal in the sluice,watergate,watergate,double definition,SKANDAL,0
45346,Relish an Indian addition to the meal,chutney,chutney,double definition,CHUTNEY,1
121944,Quoted poet sounds like Mary's garden,shelly,shelly,double definition,MARLOW,0
50807,A reward for the taking?,priceononeshead,price on ones head,double definition,A BIT OF FLAIR,0
134682,Cheers solvers are barred from getting,youshouldnthave,you shouldnt have,double definition,AND A HOLE,0
91690,Performance of capital detachment,execution,execution,double definition,SEPARATION,0
50572,Free husband,save,save,double definition,EXEM,0
38373,Small and delicate,slight,slight,double definition,DAINTY,0
29441,Calm North Yorkshire town,settle,settle,double definition,MALTON,0
34965,Jack's screwdriver?,propeller,propeller,double definition,LADLEBIT,0
3128,"Clifftop home creepy, we hear?",eyrie,eyrie,double definition,EYRIE,1
119926,Warning to speculators on gravy train ?,mindthegap,mind the gap,double definition,"GET ON, THE",0
98100,A marvellous idea taking off in dream,aspiration,aspiration,double definition,SUBCONSCIOUS,0
46325,It's cryptic woman's paper,tissue,tissue,double definition,TIMES,0
40368,Make new arrangements for the holiday place,resort,resort,double definition,RESORT,1
41398,Acts as executor - some teachers want to,beheads,beheads,double definition,WILLING,0
22648,The end of the New Testament,amen,amen,double definition,RENT,0
52288,Rubber reported by my sister in Paris?,masseur,masseur,double definition,ERASER,0
2591,A representative business,agency,agency,double definition,AGENCY,1
62314,Snakes top their opposites,adders,adders,double definition,ADDERS,1
51626,A hard thing to catch,nail,nail,double definition,COLD,0
93701,Where people go in for charms,entrances,entrances,double definition,JEWELRY,0
102896,Soul music?,spiritual,spiritual,double definition,PSALMS,0
30758,The keynote to good health?,tonic,tonic,double definition,TONIC,1
12774,Dragged to the altar?,towed,towed,double definition,RAVEL,0
87168,Confinement which sounds yellow?,custody,custody,double definition,CUSTODY,1
