Index,Clue,Solution,Spaced_Solution,gemma_predicted,gemma_solved_answer
112931,Dames popular with sailors?,broads,broads,double definition,MARINA,0
39500,A weightwatchers' congress?,diet,diet,double definition,DIET,1
47168,"Very cutting, but inviting riposte",twoedged,two edged,double definition,ICE BREAK,0
25643,Academic sinecures?,easychairs,easy chairs,double definition,SINE CURVES,0
47761,It's suitable in public,exoteric,exoteric,double definition,APPROPRI,0
66596,Advertising in advance,promotion,promotion,double definition,PROMOTING,0
104275,No good at making pudding,duff,duff,double definition,SAGO,0
124178,Mason's fermented juice?,perry,perry,double definition,CIDER,0
30402,One of the Stones appearing worn - affected by the drink?,pebble,pebble,double definition,SOTTED,0
53157,What Mrs Sprat might do with rabbit,chewthefat,chew the fat,double definition,EATS THE LOT,0
36723,Carry on in the theatre,operate,operate,double definition,OPERATE,1
26394,Temporarily relocate help,second,second,double definition,RESITE,0
51064,Coming to no conclusion,endless,endless,double definition,PENDING,0
2115,Bird of prey,raven,raven,double definition,EAGLE,0
112643,Found out such appliances are dangerous,unearthed,unearthed,double definition,UNEARTHED,1
40199,Doubt one may be apprehended,suspect,suspect,double definition,SUSPECT,1
41758,Second in importance,moment,moment,double definition,MINUTE,0
137544,Grouped together with a retired joiner,banded,banded,double definition,UNITED,0
75815,Make an effective stab at providing a short survey,runthrough,run through,double definition,HIT TARGET,0
26973,"Subscribed to the ""Listener"" and the ""Pantheon"", say",rotunda,rotunda,double definition,ADHERED,0
87379,"A slippery customer, the winter sportsman!",skier,skier,double definition,SKIER,1
63736,Knock cap off sleeping policeman,hump,hump,double definition,COPS,0
27894,Reportedly waited around grave,staid,staid,double definition,STAID,1
47499,Put up rainwear in a swindle,scam,scam,double definition,SCAM,1
33300,"Write, for instance, ""to rise"" as your answer?",getup,get up,double definition,PEN UP,0
134309,Holder and others sounded greatly impressed,slayed,slayed,double definition,AWED,0
51733,Where accidents are affecting the roses,blackspot,black spot,double definition,BLACK SPOT,1
91152,"In tight spot, swear!",plight,plight,double definition,ASSERT,0
46199,Cooked potato with cold joint,chip,chip,double definition,KNEE,0
134666,"God's dog and ten animals I slam in a net, perhaps?",palindromes,palindromes,double definition,ELIMINATION,0
35372,Enormous scratch by the ear,great,great,double definition,GREAT,1
60290,Secure forward position,lock,lock,double definition,FAST,0
98299,It is difficult being so sensitive,ticklish,ticklish,double definition,TICKLISH,1
116464,"Having broken a personal record, though on the decline",pastonesbest,past ones best,double definition,OVER THE HILL,0
6256,Scandal in the sluice,watergate,watergate,double definition,WATERGATE,1
45346,Relish an Indian addition to the meal,chutney,chutney,double definition,CHUTNEY,1
121944,Quoted poet sounds like Mary's garden,shelly,shelly,double definition,CITED,0
50807,A reward for the taking?,priceononeshead,price on ones head,double definition,PRICE ON YOUR HEAD,0
134682,Cheers solvers are barred from getting,youshouldnthave,you shouldnt have,double definition,THE LAST WORD,0
91690,Performance of capital detachment,execution,execution,double definition,BEHEADING,0
50572,Free husband,save,save,double definition,SAVE,1
38373,Small and delicate,slight,slight,double definition,SLIGHT,1
29441,Calm North Yorkshire town,settle,settle,double definition,SETTLE,1
34965,Jack's screwdriver?,propeller,propeller,double definition,JACKSCREW,0
3128,"Clifftop home creepy, we hear?",eyrie,eyrie,double definition,AERIE,0
119926,Warning to speculators on gravy train ?,mindthegap,mind the gap,double definition,MIND THE GAP,1
98100,A marvellous idea taking off in dream,aspiration,aspiration,double definition,AIRCASTLES,0
46325,It's cryptic woman's paper,tissue,tissue,double definition,TISSUE,1
