Index,Clue,Solution,Predicted_Type,Annotation_Type,Notes,gemini_predicted
1,A warning to stop the plantation of trees (11),forestation,unknown,Assemblage,fore (golf warning) + station (train stop),assemblage
2,Be established as keeper for team? (5),exist,unknown,Container,EST (abbr. for established) around XI (eleven ppl on a soccer team),assemblage
3,Outstanding repeat for singer (4),lulu,unknown,Double Definition,"Lulu is the name of a singer, and ""lulu"" is a word for outstanding (that has a repeated syllable)",double definition
4,"Author Thomas, queen, is overcoming male idiosyncrasy (9)",mannerism,unknown,Assemblage,"Mann (author) + er (queen) + is + m (first letter of ""male"")",assemblage
5,A fresh flower is opening (8),aperture,anagram,Assemblage,"a + pert (fresh) + Ure (name of a river, something that flows)",double definition
6,Straighten out daughter I roused by point of view (11),disentangle,anagram,Assemblage,d (daughter) + I + sent (roused) + angle (pov),assemblage
7,Winnie finds degree hard for a multi-tasker (4-3),pooh-bah,unknown,Assemblage,pooh (winnie) + ba (b.a. degree) + h (hard),assemblage
8,A pleasure at the beach? You may not have it up the creek (6),paddle,unknown,Double Definition,nan,double definition
9,"These might secure lock at back: not keys to house (4,5)",reef knots,unknown,Container,reefs (keys) around (to house) k + not (last letter of lock + not),double definition
10,Bishop might help attendant (7),barmaid,unknown,Assemblage,b (bishop) + arm (might) + aid (help),assemblage
11,"Where barcarolle may be heard by ""The King and I"" singer? (6)",rialto,homophone,Assemblage,"r (rex, meaning king) + i (and I) + alto (singer)",assemblage
12,Jock's sorry about colour (5),ochre,anagram,Assemblage,"och (jock's, or scottish, word for sorry) + re (about, abbr for regarding)",assemblage
13,Able seaman's leader knocked off (7),skilled,anagram,Assemblage,s (seaman's first letter) + killed (knocked off),assemblage
14,"Spray a lover, then look up (7)",aerosol,unknown,Assemblage,"a + eros (lover) + ol (first letters of look, backwards?)",assemblage
15,"It's overgrown with evergreen, one contended (5)",ivied,unknown,Assemblage,i (one) + vied (contended),assemblage
16,"Bound for empty line, about to get in it (8)",frontier,anagram,Container,"fr (empty ""for"") + oner (line) containing ti (""it"" backwards bc ""about"" and ""to get in"")",assemblage
17,Celebrate about rise in king's payment to serving man (8),shilling,anagram,Container,sing (celebrate) around hill (rise),assemblage
18,"Polluted: ""No Admittance"" order required (12)",contaminated,unknown,Anagram,"anagram of ""No Admittance""",anagram
19,"Place of judgement where Penny advanced tycoon (6,5)",pearly gates,unknown,Assemblage,"p (penny) + early (advanced) + gates (bill gates,a tycoon)",assemblage
20,"Completely blown away by mixing spice to those? (4,2,6)",shot to pieces,unknown,Anagram,"anagram of ""spice to those""",anagram
21,Group of musicians - or it could be (4),trio,anagram,Anagram,"anagram of ""or it""",anagram
22,Indian city on a river? On the contrary (5),poona,anagram,Assemblage,"po (name of river, moved to front) + on + a",assemblage
23,"Dealer's left distributing the LSD and ecstasy (6,4)",eldest hand,unknown,Anagram,"anagram of ""the LSD and e"", only e probably as an abbr",anagram
24,"Hides tube behind leaves (4,11)",goes underground,hidden_word,Assemblage,goes (leaves) + underground (the tube),assemblage
25,Holds until completely motionless (5-5),stock-still,container,Assemblage,stocks (holds) + till (until),assemblage
26,Wearer of trousers lacking sort of turn-up? (4),user,anagram,Hidden Word,trousers minus the letters in sort,hidden word
27,Build a lead in tennis? (5),setup,unknown,Double Definition,"build (setup), a lead in tennis (a set up)",assemblage
28,Retiring extrovert (8),outgoing,unknown,Double Definition,"retiring (going out), extrovert (synonym)",double definition
29,Look round New York - it's crazy! (5),loony,anagram,Assemblage,lo (look) + o (round) + ny (new york),assemblage
30,"Same as belt fashioned in lead and zinc? (4,6)",base metals,unknown,Anagram,"anagram of ""same as belt""",anagram
31,Put off having criminal freed (5),defer,anagram,Anagram,"anagram of ""freed""",anagram
32,"Local tour that goes swimmingly? (4,4)",pubc rawl,unknown,Double Definition,"local tour, goes swimmingly",assemblage
33,"Rule to ignore, bent - nothing's lost (5)",reign,anagram,Anagram,"anagram of ignore, minus the o (lose nothing / 0)",anagram
