Index,Clue,Solution,Spaced_Solution,gemma_predicted,gemma_solved_answer
72429,Old official partial to free verse,reeve,reeve,hidden word,REEVE,1
117,Girl rejected in family rebellion,beryl,beryl,hidden word,REBEL,0
42571,Some women's double confinement - insane!,sabine,sabine,hidden word,DOUBLE,0
2975,Spoken for a large section,oral,oral,hidden word,PART,0
83831,Live in red wellies?,dwell,dwell,hidden word,DWELL,1
7214,"Each hoop, but only every other ring",echo,echo,hidden word,ECHO,1
99967,Get a bit of a sore back tossing it?,caber,caber,hidden word,AROSE,0
103162,Type of verse inspired by daemon or Hymen,monorhyme,monorhyme,hidden word,MONODRAMA,0
67248,Aspect of Spain no fiction's written about,facet,facet,hidden word,FACET,1
63174,The black arts conceal trap that's attractive,magnetic,magnetic,hidden word,MAGNETIC,1
89346,Some auxiliary bones,ilia,ilia,hidden word,ILIA,1
5419,Core of expedition is a long way off,afar,afar,hidden word,AFAR,1
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster,oyster,hidden word,OYSTER,1
36567,PM essentially disappointed England,eden,eden,hidden word,EDEN,1
11951,What Italians drink in the Mestre: Galliano,strega,strega,hidden word,STREGA,1
138851,"Only a proportion taken from income, a tax evaded is a dangerous thing",meataxe,meat axe,hidden word,FIRE ANT,0
35660,Stop some French potatoes,deter,deter,hidden word,STOPP,0
37300,A contribution to please lively art supporter,easel,easel,hidden word,EASEL,1
124771,"Odd characters in the land of Schiller, the elegist?",gray,gray,hidden word,GRAY,1
38332,"Salts' place - in the deep, somewhere",epsom,epsom,hidden word,EPSOM,1
11554,Every real Puritan regularly offered praise to God,alleluia,alleluia,hidden word,EYELUMIN,0
50913,Peninsula of African country with no western boundary,iberia,iberia,hidden word,IBERIA,1
31019,Flower sometimes needlessly gilded,lily,lily,hidden word,IRIS,0
126046,Edges away from very pale woman,she,she,hidden word,WAN,0
74527,Part of speech that's authentic,echt,echt,hidden word,REAL,0
98579,"Like some numbers, within moderation always",rational,rational,hidden word,RATIONAL,1
91974,Blades trio Arsenal bound,oars,oars,hidden word,OARS,1
75583,He rings bell running through Essex to Norfolk,sexton,sexton,hidden word,KNELLS,0
58154,Albatrosses both taking turn to incubate brood,obsess,obsess,hidden word,CLUTCH,0
5047,Part of Roman villa block,anvil,anvil,hidden word,ATRIA,0
1876,Deity some see as a tyrant,satyr,satyr,hidden word,SETAT,0
141168,"Round openings with no actual fit, regularly",oculi,oculi,hidden word,OCULI,1
6095,Boundaries some defend successfully,ends,ends,hidden word,ENDS,1
134993,Language of medic (a junior),cajun,cajun,hidden word,LATIN,0
36471,Plant when season's not begun,inter,inter,hidden word,SEDGE,0
122067,"Bring back some relic, if use relates to a Muslim",sufic,sufic,hidden word,SUFIC,1
8710,Saw road agent removing wings,adage,adage,hidden word,ADAGE,1
25450,"Rusbridger cycled in, worn down",eroded,eroded,hidden word,ERODED,1
13700,Where to get meat in set menu,estaminet,estaminet,hidden word,BUTCHERY,0
128567,Something quite clear can easily become mysterious,arcane,arcane,hidden word,OPAQUE,0
8750,Reason some complain ferociously,infer,infer,hidden word,INFER,1
82714,"Covered, so wings off for Cyclades",clad,clad,hidden word,CLAD,1
50045,"Rounds with ham, more sandwiches",ammo,ammo,hidden word,BAPS,0
10189,"Dye brown paper, cutting top and bottom",anil,anil,hidden word,TINT,0
17796,One has got to go out in New Zealand,otago,otago,hidden word,MAORI,0
11421,Involving one's stomach in following a strict diet,gastric,gastric,hidden word,FASTING,0
48837,Section of church used by Paisley,aisle,aisle,hidden word,AISLE,1
31710,What's this? Oddly coloured?,clue,clue,hidden word,CLUE,1
83991,Some sang harmoniously in the Buddhist community,sangha,sangha,hidden word,SANGHA,1
75473,Exclude being served by rude baristas,debar,debar,hidden word,DEBAR,1
50777,Bird found in or near Headingley,rhea,rhea,hidden word,ERNE,0
53773,Crater here buried in decadence,aden,aden,hidden word,ADEN,1
104877,It may be found in winter sportsmen's kit,ski,ski,hidden word,SKI,1
100107,Olympic champion raised kids in nearby house,ennis,ennis,hidden word,LODGE,0
123111,Tailors are not entirely involved in such matters,sartorial,sartorial,hidden word,SEWERAGES,0
135178,Banks excluded from data legislation,act,act,hidden word,ACT,1
81778,Undesirable movement practically contained,tic,tic,hidden word,TIC,1
713,Conspicuous poverty traps,overt,overt,hidden word,STARK,0
44701,She showed some initiative in revolution,evita,evita,hidden word,ENITA,0
136278,Wet chamois tends to gather,moisten,moisten,hidden word,ACCUMUL,0
117260,Yours only houses a porcupine,urson,urson,hidden word,YOURS,0
55141,Cruciverbalist's sidekick with some incredible wisdom,lewis,lewis,hidden word,LEWIS,1
28829,"Furthermore, lacks great enthusiasm for measure",therm,therm,hidden word,ALSO,0
17799,Protagonists content here in New Zealand,otago,otago,hidden word,HEROS,0
38882,Asian city of fragrancy,agra,agra,hidden word,AGRA,1
59338,"Plover, nestling, swallows, eagle",erne,erne,hidden word,ERNE,1
5173,Stalag ground is filled with hostility,aggro,aggro,hidden word,SPITE,0
78001,Mission in a real amount of difficulty,alamo,alamo,hidden word,TRIAL,0
114238,Resting places used by Francis of Assisi,sofas,sofas,hidden word,STAYS,0
71731,Hunter occasionally bagged fantastic bird,roc,roc,hidden word,HEN,0
26867,Olympic ultimatum has weight in China,picul,picul,hidden word,CANTO,0
42138,What that enemy harbours?,hate,hate,hidden word,HATE,1
55872,Code for the thick-headed,ethic,ethic,hidden word,MORSE,0
29453,They clip specific items studio requires after vacation,scissors,scissors,hidden word,CLIPPERS,0
31862,Famous item in entrants' pockets,eminent,eminent,hidden word,SCEPTRE,0
24572,Animal a wigeon's caught in the country,malawi,malawi,hidden word,WIGEON,0
22918,Club in which the password is courage,disco,disco,hidden word,NERVE,0
105460,Dean captures heart of chorister,inge,inge,hidden word,CORE,0
44192,Grave words from some decrepit aphorist,epitaph,epitaph,hidden word,EPITAPH,1
16520,Song in which black sheep gets shorn,aria,aria,hidden word,ARIA,1
72094,The crux of recent research,centre,centre,hidden word,CENTRE,1
27920,Some odds never to back?,evens,evens,hidden word,EVENS,1
34779,Expand section of integral network retrospectively,enlarge,enlarge,hidden word,ENLARGE,1
47414,Hut of iron is sent for,nissen,nissen,hidden word,FESHED,0
131513,Some contradict umpire's ruling,dictum,dictum,hidden word,DICTUM,1
55091,Trainee as part of a performing act in the auditorium,intern,intern,hidden word,L-ACTOR,0
113442,Inadequate hatless uncle,lender,lender,hidden word,SCANTY,0
96989,Book up a little table in a diner,daniel,daniel,hidden word,TABLET,0
104170,Mistake is nonsense - rub out,bish,bish,hidden word,ERRS,0
32377,"What's in your head, if not entirely wide awake",idea,idea,hidden word,IDEA,1
22685,"Girl in passageway stopping short, looking back",ella,ella,hidden word,ELLA,1
6299,"Partly train a director to cope with bottom of recession, perhaps",nadir,nadir,hidden word,NADIR,1
94477,Sam Weller's face doesn't appear with a message,thames,thames,hidden word,S-LETTER,0
55226,Give consent in Gretna Green,agree,agree,hidden word,AGREE,1
123330,Huge numbers in India holding rupees in central parts,crores,crores,hidden word,MYRIAD,0
82583,"Start from birds in general, one in particular",owl,owl,hidden word,AVE,0
108151,Study in selective education by ...,coningsby,coningsby,hidden word,EDUCATION,0
71682,"""A pathological sac"", said Sister, with no hesitation",cyst,cyst,hidden word,CYST,1
36352,Employed in house design,used,used,hidden word,USED,1
98065,Not those from the area around Dover,these,these,hidden word,OTHER,0
307,Berliner's odd bits of cheese,brie,brie,hidden word,BRIE,1
17992,Blend or brew or fictional small family member?,borrower,borrower,hidden word,MIXTURES,0
121519,Party leads to chaos after boozy antics listed,cabal,cabal,hidden word,TIPSY,0
125101,She returns in an instant,nina,nina,hidden word,SIRI,0
15501,Some cauliflower from cholesterol-free lunch left over,floret,floret,hidden word,FLORET,1
16522,Melody featured in Enigma Variations?,aria,aria,hidden word,ARIA,1
99223,What you encounter in nuclear theory is dull,earthbound,earthbound,hidden word,UNEXCITING,0
1183,Wretch in peasant garb removing top,louse,louse,hidden word,LOUT,0
65983,Some American depositors backed this inventor,otis,otis,hidden word,OTIS,1
19849,Resident in area luckily unaffected,real,real,hidden word,SITU,0
71415,Mountain dweller coming in without more ado,oread,oread,hidden word,GNOME,0
128936,"Some bits pong, especially bums",sponges,sponges,hidden word,SPONGES,1
100277,Old tape in use to maintain clear reproduction,incle,incle,hidden word,CLONE,0
117208,Addition to passport not altogether advisable,visa,visa,hidden word,VISA,1
7714,Fighter for crown in Punic or Napoleonic wars,unicorn,unicorn,hidden word,CORONEL,0
34023,Capital investment in brothels in Kiev,helsinki,helsinki,hidden word,KIEVITES,0
3557,Europe set against taking in former currency,peseta,peseta,hidden word,EUROS,0
5178,"""Nul points"" in the Brazil-Chile match",zilch,zilch,hidden word,NIL,0
73395,"It's needed by diplomat, actually",tact,tact,hidden word,ACTU,0
12702,This is a distinguishing feature of a hurtful type,sadist,sadist,hidden word,STIGMA,0
73827,Examining some money in great detail,eying,eying,hidden word,EYING,1
59334,Bird of the wilderness,erne,erne,hidden word,ERNE,1
45768,Not so busy class enthralled by Beatles songs,lesson,lesson,hidden word,MODEST,0
36966,Fight in a Somerset town,setto,set to,hidden word,SET TO,1
33789,Fairy getting some Yorkshire pudding to rise,peri,peri,hidden word,PERI,1
25459,Famine departs this world,dearth,dearth,hidden word,DEARTH,1
19458,Manx bird's style,chic,chic,hidden word,CHIC,1
134541,Ogle diva regularly? I see plays here,oldvic,old vic,hidden word,OLD VIE,0
137186,Part of grant is ring-fenced for some weeks,tisri,tisri,hidden word,TIDES,0
71110,Productive element in electric heater,rich,rich,hidden word,RICH,1
64607,Group of stars in earthy drama,hydra,hydra,hidden word,HYDRA,1
7418,Language from overseas,erse,erse,hidden word,ERSE,1
109475,"Showing some Picasso on a screen, once",assoonas,as soon as,hidden word,AS SEEN ON,0
45512,Forecast for fish,orfe,orfe,hidden word,BODE,0
87033,"Some tinted spectacles have acrylic rims, only they must be red",crimson,crimson,hidden word,CRIMSON,1
58080,Terrifying regular visitors to Dorset and Leeds,dreaded,dreaded,hidden word,DREADED,1
8089,Old South American driving endlessly?,inca,inca,hidden word,INCA,1
4143,"Land in the Minch, perhaps",inch,inch,hidden word,ISLE,0
113572,Amount he regularly gives mum,mute,mute,hidden word,SUMS,0
58628,"In Shiraz, Edwin got knocked down",razed,razed,hidden word,RAZED,1
67352,Russian girl is ashamed to part,sasha,sasha,hidden word,SONYA,0
134510,"Parachutist maybe in battle region, not the first or last",lander,lander,hidden word,HEATRE,0
23605,Substitute bankers at Zurich centre,ersatz,ersatz,hidden word,RELIEF,0
99736,He finds fault in fancy nicknames,cynic,cynic,hidden word,CARPS,0
10869,Brilliance of a single amethyst,gleam,gleam,hidden word,GLINT,0
43078,Torture's not even legitimate,TRUE,TRUE,hidden word,TRUE,1
47209,Many inherit from one retiring,hermit,hermit,hidden word,MYRIAD,0
29701,Poem makes one fairly rich? Not entirely,lyric,lyric,hidden word,LYRIC,1
94674,Port (Shanghai) fabricates houses,haifa,haifa,hidden word,CONES,0
52782,Flower of the Bronx,ebro,ebro,hidden word,EBRO,1
20051,In my absence a member is seen in a cautious light,amber,amber,hidden word,AMBER,1
89065,"Ethelred evidently reveals it, despite his reputation",rede,rede,hidden word,REDE,1
114001,"From within deer, a female deer",hind,hind,hidden word,HIND,1
139267,Gutless gangster mugs shoppers,grasses,grasses,hidden word,GROCERS,0
118232,Rushed a hideout,hied,hied,hidden word,SHED,0
93470,Reciprocal element reflected in typical autumn fashion,mutual,mutual,hidden word,MUTUAL,1
