Index,Clue,Solution,Spaced_Solution,gemma_predicted
135430,"Achy shaking stopped by iodine, salt and kaolin",chinaclay,china clay,assemblage
93485,Paid the bail for a sound woman,freda,freda,assemblage
77103,"In Germany, thin girls can eat this!",anything,anything,container
72429,Old official partial to free verse,reeve,reeve,hidden word
42357,Coarse-sounding son's in the wilderness,dessert,dessert,container
14535,Turns up in chilly surroundings yet well received,popular,popular,assemblage
126864,Foreign currency racket completely disheartened auditor,dinar,dinar,assemblage
1059,The fellow apprehending one felon,thief,thief,container
112931,Dames popular with sailors?,broads,broads,double definition
21744,Last year's leaders entertained by regular journalist,evelyn,evelyn,container
3077,Butcher breaks bent pan,skillet,skillet,container
49144,Improved a carving with direction,cameon,came on,assemblage
33191,"s ""a hairy man"", speaking in child's play",seesaw,seesaw,assemblage
39603,Bend down to king in Chesterfield,crouch,crouch,container
65864,"Message left in note, eg ""Castle in the morning""",telegram,telegram,assemblage
39500,A weightwatchers' congress?,diet,diet,double definition
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,dulcimer,anagram
116403,"In the chair, restraining Democrat under influence of drugs",sedated,sedated,container
7713,"Horny beast imagined finding garment ripped, models having fled",unicorn,unicorn,assemblage
65892,Sword giving enemy cut to one leg,foil,foil,assemblage
47168,"Very cutting, but inviting riposte",twoedged,two edged,double definition
139673,Pays for food after treasurer cleared out,treats,treats,container
88123,Poet's round - very one just cited,ovid,ovid,assemblage
25643,Academic sinecures?,easychairs,easy chairs,double definition
117,Girl rejected in family rebellion,beryl,beryl,hidden word
102698,On which the unemployed needed drink or warm brew before church,jarrowmarch,jarrow march,assemblage
140405,Australian birds scrub duds,brushturkeys,brush turkeys,assemblage
109857,Number of copies produced of picture for all to see in the navy,printrun,print run,assemblage
56259,Dubious moment to go topless,iffy,iffy,assemblage
78909,Uncommon pronoun,royalwe,royal we,assemblage
117476,What's worn by Amazons as custodians?,wardresses,wardresses,assemblage
111029,Tries hard with a cereal,hasago,has a go,assemblage
47761,It's suitable in public,exoteric,exoteric,double definition
14041,Injure a black beetle,scarab,scarab,assemblage
71248,Cabinet minister provides rally in disaster,lordprivyseal,lord privy seal,assemblage
82116,One way to get team something in a pie,mincemeat,mincemeat,assemblage
66596,Advertising in advance,promotion,promotion,double definition
62747,Oddball wants to perform on dam,weirdo,weirdo,assemblage
88285,Grow increasingly furious with puzzle,bewilder,bewilder,assemblage
104275,No good at making pudding,duff,duff,double definition
113355,ATM George misused as source of money,mortgagee,mortgagee,anagram
