Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
135430,"Achy shaking stopped by iodine, salt and kaolin",chinaclay,china clay,assemblage,SALT LAKE,0
93485,Paid the bail for a sound woman,freda,freda,assemblage,PAID,0
14535,Turns up in chilly surroundings yet well received,popular,popular,assemblage,WELCOME,0
126864,Foreign currency racket completely disheartened auditor,dinar,dinar,assemblage,RUBLE,0
49144,Improved a carving with direction,cameon,came on,assemblage,CUT TO,0
33191,"s ""a hairy man"", speaking in child's play",seesaw,seesaw,assemblage,SPOOKY,0
65864,"Message left in note, eg ""Castle in the morning""",telegram,telegram,assemblage,MESSAGE,0
7713,"Horny beast imagined finding garment ripped, models having fled",unicorn,unicorn,assemblage,BEASTS,0
65892,Sword giving enemy cut to one leg,foil,foil,assemblage,EDGE,0
88123,Poet's round - very one just cited,ovid,ovid,assemblage,ODE,0
102698,On which the unemployed needed drink or warm brew before church,jarrowmarch,jarrow march,assemblage,SUNDAY ROAST,0
140405,Australian birds scrub duds,brushturkeys,brush turkeys,assemblage,EMUS SCRUB,0
109857,Number of copies produced of picture for all to see in the navy,printrun,print run,assemblage,PHOTO OP,0
56259,Dubious moment to go topless,iffy,iffy,assemblage,MOMENT,0
78909,Uncommon pronoun,royalwe,royal we,assemblage,THEM TO,0
117476,What's worn by Amazons as custodians?,wardresses,wardresses,assemblage,ARMOURING,0
111029,Tries hard with a cereal,hasago,has a go,assemblage,TRYING TO,0
14041,Injure a black beetle,scarab,scarab,assemblage,INJURE,0
71248,Cabinet minister provides rally in disaster,lordprivyseal,lord privy seal,assemblage,MINISTER,0
82116,One way to get team something in a pie,mincemeat,mincemeat,assemblage,TEAM PLAYER,0
62747,Oddball wants to perform on dam,weirdo,weirdo,assemblage,MADAM,0
88285,Grow increasingly furious with puzzle,bewilder,bewilder,assemblage,GROWING,0
120504,Expression of surprise at topless Winnie,ooh,ooh,assemblage,WOO,0
131856,Band crew/outfit leaders on road - useful for light adjustment,sashcord,sash cord,assemblage,HEAD LIGHT,0
51680,Top man secures first place for author,kipling,kipling,assemblage,AUTHOR,0
36053,Turkish leader about to conclude the business,agenda,agenda,assemblage,BUSINESS,0
15514,Star surprisingly is over a year missing,astray,astray,assemblage,ASTERS,0
24258,"Irritates spaniel's head, which is uncalled for",needless,needless,assemblage,IRRITATES,0
30742,I take five outside to do test again,resit,resit,assemblage,RETEST,0
139806,Midsummer Day ends with a group of sailors,rya,rya,assemblage,DAY,0
87240,"Place order, getting from pick-up to destination, showing self-possession",aplomb,aplomb,assemblage,COMPOS,0
56653,Scrap a piece of classical music,raga,raga,assemblage,CANT,0
112535,Novel with first part abbreviated: unruly mob around me aren't consistent,mmebovary,mme bovary,assemblage,LOOSE CANNON,0
9639,Continue to strike a man,ramon,ramon,assemblage,STORM,0
99593,"Part of Tennessee Williams' last ""hip"" production: morose, electrifying Marlon initially in the lead",memphis,memphis,assemblage,MOROSE,0
7013,Tension disturbed rest on ship,stress,stress,assemblage,STRESS,1
107759,"Utters a dictum, so there's nothing missed",says,says,assemblage,SAYS,1
81319,Primate with cross in position of eminence,apex,apex,assemblage,ORANG,0
112041,Chap sadly back around houses in Spanish city,salamanca,salamanca,assemblage,CHAPEL,0
62445,"Set well back, marsh east of Senegalese capital",stiffen,stiffen,assemblage,DAKAR,0
11241,Drink without a container sent back source of milk,coconut,coconut,assemblage,LATTEES,0
105358,"Writer in a hurry to do so, too",rushdie,rushdie,assemblage,AUTHOR,0
119085,"Residence in block, a squat",bungalow,bungalow,assemblage,APARTMENT,0
79884,No laughs disrupted Evert's closing attack,onslaught,onslaught,assemblage,OVERLAPS,0
