Index,Clue,Solution
136586,Policy Americans go wild for,reaganomics
135668,"Middle Eastern nirvana in it's elapsed, somewhat in recession",palestinian
134856,Aristocrat to protest over troublesome noises,marchioness
61172,Medical professional has the assailant on film,psychotherapist
91107,"Officer conveying Her Majesty, one behaving as conductor would?",ohmic
1860,Good book for figures,numbers
84808,Performed ditty about lady's teeth,gnashers
40201,States small change in school is doubtful,suspect
1349,"Interior decoration, pretty as can be",tapestry
550,The suffering a preacher tries to hide,ache
51643,Noisy reveller for whom dawn herald gets one for nothing,roister
59685,Spider that reaps?,harvester
100920,Tropical novelist and playwright,miller
117791,"Scrap with new head, French politician",giscard
76291,Achievement of one who doesn't miss a trick,grandslam
128393,Want to go after a fifty-pound kiwi,allblack
123979,Where bloomers are made like the fourth and sixth incarnations of Dr Who?,bakery
118241,"Driver's last seen going into roundabout, causing a lot of pain",torturous
139493,Part of organ not quite audible around old church,cochlea
88081,A coal tit changing gear,tailcoat
96274,Is inquisitive about the tank and soldiers,privates
139002,Powerful Catholic overwhelmed by weakness,forcible
10029,A poster to show where the big ships come,seaport
66498,Study shows doctor is English,treatise
96821,No little girl reported to have special knowledge,gnosis
13166,French stop over in getting the lie of the land,terrain
53457,Go through battle without army suffering reverse,comb
120056,Alternative name held by island archipelago,orkney
62264,Group outlets retained by partner,westlife
64999,Ada being nasty? Just having a laugh,badinage
92234,Pistol faced with Big Bertha would be so overwhelmed?,outgunned
140603,Lead singer's notes?,heavymetalmusic
29313,Wedge-shaped block holds Catholic University together - that's definite!,clearcut
116613,Hormone replacement for bird,moorhen
34881,Example of man in nice predicament,instance
120826,"""Pass him, anyway"" - how accidents result",mishaps
120636,"Concisely written ultimately, French produce cracking poem",inbrief
55623,"Uproar from black and white endangered instrument, might you say?",pandemonium
80700,Spiel includes point in sprinkling chips with salt,salespitch
52602,Fight with nurse after party,contend
130745,"Source of prosciutto supplied by mail, say?",parma
3559,A steep fluctuation in old currency,peseta
83573,Not the genuine Robin? That's a bit of a relief,falsehood
25653,Ask to hug companion seen at the ballet,entrechat
61469,Porridge makes good person feel sick,stretch
109295,Faction is first-rate without the French,sect
7794,One accountant has daughter pinched by another - a chirpy creature,cicada
108146,Argue about holding stake in contract,guarantee
30095,New length lines that material,nylon
1313,Woman in credit with a selection of wine,cellar
77029,"Stone from a ring, replaced before the centre's fallen out",granite
