Index,Clue,Solution,gemma_predicted
136586,Policy Americans go wild for,reaganomics,anagram
135668,"Middle Eastern nirvana in it's elapsed, somewhat in recession",palestinian,hidden word
134856,Aristocrat to protest over troublesome noises,marchioness,assemblage
61172,Medical professional has the assailant on film,psychotherapist,assemblage
91107,"Officer conveying Her Majesty, one behaving as conductor would?",ohmic,container
1860,Good book for figures,numbers,double definition
84808,Performed ditty about lady's teeth,gnashers,assemblage
40201,States small change in school is doubtful,suspect,assemblage
1349,"Interior decoration, pretty as can be",tapestry,anagram
550,The suffering a preacher tries to hide,ache,hidden word
51643,Noisy reveller for whom dawn herald gets one for nothing,roister,assemblage
59685,Spider that reaps?,harvester,double definition
100920,Tropical novelist and playwright,miller,double definition
117791,"Scrap with new head, French politician",giscard,assemblage
76291,Achievement of one who doesn't miss a trick,grandslam,double definition
128393,Want to go after a fifty-pound kiwi,allblack,assemblage
123979,Where bloomers are made like the fourth and sixth incarnations of Dr Who?,bakery,double definition
118241,"Driver's last seen going into roundabout, causing a lot of pain",torturous,container
139493,Part of organ not quite audible around old church,cochlea,assemblage
88081,A coal tit changing gear,tailcoat,anagram
96274,Is inquisitive about the tank and soldiers,privates,container
139002,Powerful Catholic overwhelmed by weakness,forcible,container
10029,A poster to show where the big ships come,seaport,double definition
66498,Study shows doctor is English,treatise,assemblage
96821,No little girl reported to have special knowledge,gnosis,assemblage
13166,French stop over in getting the lie of the land,terrain,assemblage
53457,Go through battle without army suffering reverse,comb,assemblage
120056,Alternative name held by island archipelago,orkney,assemblage
62264,Group outlets retained by partner,westlife,container
64999,Ada being nasty? Just having a laugh,badinage,anagram
92234,Pistol faced with Big Bertha would be so overwhelmed?,outgunned,container
140603,Lead singer's notes?,heavymetalmusic,double definition
29313,Wedge-shaped block holds Catholic University together - that's definite!,clearcut,container
116613,Hormone replacement for bird,moorhen,anagram
34881,Example of man in nice predicament,instance,container
120826,"""Pass him, anyway"" - how accidents result",mishaps,anagram
120636,"Concisely written ultimately, French produce cracking poem",inbrief,anagram
55623,"Uproar from black and white endangered instrument, might you say?",pandemonium,assemblage
80700,Spiel includes point in sprinkling chips with salt,salespitch,anagram
52602,Fight with nurse after party,contend,assemblage
130745,"Source of prosciutto supplied by mail, say?",parma,assemblage
3559,A steep fluctuation in old currency,peseta,anagram
83573,Not the genuine Robin? That's a bit of a relief,falsehood,assemblage
25653,Ask to hug companion seen at the ballet,entrechat,container
61469,Porridge makes good person feel sick,stretch,assemblage
109295,Faction is first-rate without the French,sect,container
7794,One accountant has daughter pinched by another - a chirpy creature,cicada,container
108146,Argue about holding stake in contract,guarantee,anagram
30095,New length lines that material,nylon,assemblage
1313,Woman in credit with a selection of wine,cellar,container
77029,"Stone from a ring, replaced before the centre's fallen out",granite,anagram
11644,"Queen's favourite isle? Crete, possibly",leicester,anagram
135532,Cells turn to fix as drug dealt externally,guardrooms,assemblage
34715,Depression sure to develop after hip contracts,indentures,assemblage
30176,Not in the pink,offcolour,double definition
112074,Author of Great Expectations?,hope,double definition
107027,"Rising, or just turning over?",revolution,double definition
88450,"Anti-government group still rising, securing a role",teaparty,assemblage
131217,"Surgeries' tender, qualified as medical worker",registerednurse,assemblage
97107,Party in which lovely lass is injected with drug,finegael,assemblage
121984,Crosspiece with front for model,perfection,assemblage
2603,Right one in cultured surrounds ã one in a million?,rarity,container
112080,Lodging for friend in disgrace?,doghouse,double definition
67755,Tree associated with one king,acer,assemblage
65010,Its shadow was a sign of the times,gnomon,double definition
77076,Prom performers duck out of this world,temporal,anagram
35412,Exploding grenade creates disorder,derange,anagram
105382,"Unsteady, like teetotaller drinking more rum, mostly",doddery,container
25388,Authorisation required for this sort of sale?,clearance,double definition
118625,Cruel followers of a so-called marquis,sadists,assemblage
80412,Shabby trio carrying plug and soap?,threadbare,assemblage
99179,Spread arranged by oil producer - the aggressive goat!,peanutbutter,assemblage
41297,Current squeezes right hot and steamy!,tropical,container
63551,A poisonous creeper,snake,double definition
123986,US TV celebrity losing heart for fish,opah,container
85229,Perhaps Cherie starts to write lampoons and satirical verse,clerihew,assemblage
90719,"Neon in its natural state, element initially inferior to fellow element",manganese,assemblage
136903,Annalist busy acquiring old papers,nationals,anagram
39635,Is perversely advanced still,silent,anagram
106762,"Attractive person on a poster, primarily exposed in a state of undress",dishabille,assemblage
26857,Nodding off in the Cowes road? A thousand times no!,somnolent,container
76927,Clothes worn in topless TV programme?,gear,double definition
21980,Like to strip off when retiring or having a snooze,asleep,assemblage
132163,Daisy's relative's crazy over crazy girl about love,marigold,anagram
2569,Leave opera singer for naked lady,godiva,assemblage
25255,Thou - quietly - not upright?,grandpiano,assemblage
18713,"Happy with goal, flip",upend,assemblage
94761,Theft from canonized studio,stealing,hidden word
93581,Saw mishap jumping over sort of gate,aphorism,anagram
133714,Part of American train track's fine,taillight,assemblage
100966,Point out drunk has answer to clue,highlight,assemblage
47987,Revolutionary Dame,trot,double definition
45758,"Wearing fewer clothes, for example?",lesson,assemblage
51639,"Act less, try broadcast for radio once",crystalset,anagram
79348,China supporting offensive game,badminton,assemblage
105842,Opening date that is desperate,doordie,assemblage
77545,Like going over Guardian leaders after a fight with spears,asparagus,assemblage
62488,"At a function, carrying shabby clothes",astatine,container
59915,Pamphlet man placed outside,sheet,container
117883,Film on Aussie experts - they help keep the wheels of industry turning,greaseguns,assemblage
112670,Educational degrees give support in retirement,beds,double definition
134727,A quantity of drink is both good and bad,gill,assemblage
88446,Points to one of several children as being bright,sequin,assemblage
38576,Cancel a do strangely retaining odd bit of finale which is forgettable,oldacquaintance,anagram
98379,Literary traveller initially altered Eliot's character,tulliver,anagram
40925,Piece of music has to carry a sound,toccata,assemblage
102611,Cricket sides seen occasionally,offandon,double definition
90840,Pioneer showed the way in a state of shock,startled,assemblage
35700,House of Lords is backing contents of your letter in outline,silhouette,container
23491,Portable power source for teetotal assault,drybattery,assemblage
22964,Some telephones transmit direct,honest,hidden word
27159,Agree about journalist being taken in by star,accede,container
62684,"Short, tailless dog",cur,double definition
55194,Aim to identify shuttle,endeavour,double definition
139259,Removes difficulty with brief direction,rubsout,assemblage
61620,Those vanquished by the Spanish head east as a precaution,incase,assemblage
24469,Lose control at breakfast? Have a drink!,eggflip,assemblage
101117,Was book's content order intended to be restrictive?,asbo,hidden word
111945,No alternative,yes,double definition
29932,Room can be found for plonk,chambertin,assemblage
141270,Arms trade leaders entertained by numerous delegates,legation,assemblage
130069,"Some ran badly, running not being their sport",oarsmen,anagram
27925,Chance in rugby game to get head ripped off,evens,double definition
12548,One grows up and blooms,irises,double definition
59880,Don't stay on the road - it's a bore,turnoff,double definition
48884,Drink and a biscuit for royalty,bourbon,double definition
15537,Speed up in home improvement regimen,dietary,container
141893,"My sonny's ill - tired and worn out, maybe",synonyms,anagram
89361,It turns green once church leaves Devon town,tiverton,anagram
102674,Slam outside hospital with a narcotic,bhang,container
102969,Screamer used the current hustings - the tops!,sutch,assemblage
16421,"You may see a hunchback, perhaps, double",ringer,double definition
123234,"Tiny pigs swallowing coin, nuts and bolts",rudiments,container
124309,Turtle's head fit for consumption - on this?,teatable,assemblage
125340,Gives up about pet in trouble from bugs,centipedes,container
62450,Land or borough in Holland for Spooner,touchdown,double definition
67167,Moderate entertainment,fair,double definition
127533,Such a suit might make Ian pretty upset,paternity,anagram
68770,"What the Israelites went through the wrong way round, getting cooked very fast",seared,anagram
25691,Record some inadvertent errors,enter,hidden word
135939,Survive a heavy blow,weatherthestorm,double definition
686,Time off for parties in secluded spot,recess,double definition
67811,Representation in holding company,icon,hidden word
73753,Partner would make supermarket run if opening of tills moved to the earliest slot,escort,anagram
62090,Party unknown to a foreign country,libya,assemblage
70926,"Friendly, am I? - Vince",amicable,assemblage
38475,Officer knowledgeable about voucher,coupon,assemblage
51051,Everlastin?,endless,double definition
52575,They entertain a tourist on board,strippers,container
29226,Standard artillery pistol held up,regular,assemblage
68503,Author on track of plants,greenery,assemblage
112624,Accommodation unlet - perhaps it's windy,flatulent,assemblage
129099,Old economist keeping nothing at English distillery,malthouse,container
15585,Would it take another like him to be of one mind?,halfwit,assemblage
83590,Thus honour deceased invalid's support,sickbed,assemblage
78083,Traffic controller's lines set in committee,bollard,container
7191,Mythological princess performed with nothing on,dido,assemblage
124909,That chap's very quiet round caged beasts,hippos,container
103040,Antonio's vessels from ancient city that is to south,argosies,assemblage
114354,Very nice romp - and hard all the way,everyinch,anagram
127098,"Legendary royal butt raised in support of performance by Callas, say?",ariadne,assemblage
66853,Plot to blow up prison in church,conspire,assemblage
93883,Tenant clutching bottle's last to come in again,reenter,container
93592,A sweet girl's name for a flier,airman,assemblage
35559,Circus artiste's value is tumbling,acrobat,anagram
82154,Level playing field,pitch,double definition
38163,Skeleton said to be a man,draught,double definition
39544,"Even question being in Europe; from set of data, it's time to leave",equable,assemblage
1878,"Lecherous man with sex appeal - despot, not half",satyr,assemblage
124662,Pirate boy in previous day across the water,hijacker,container
30903,Partner going off when there's no going on,stalemate,assemblage
93748,"Refreshing place, Newgate Forest",teagarden,assemblage
46247,Flower girl is seen in time,daisy,assemblage
41383,Attractive bars,magnets,double definition
106331,Legal successor heard to gain from flying hazard,airpocket,assemblage
38854,Hairstyle covers very retro crew member,bosun,assemblage
63718,"More stylish going over line, one who finishes nicely?",polisher,container
54865,"Being completely taken aback, girl admits the sport's attraction",allure,assemblage
30371,Subsequently the French turned sideways,lateral,anagram
50444,Came clean: he'd worse troubles,showered,anagram
1424,Cut for a game of cards,abridge,assemblage
115759,Blue stain,dirty,double definition
108673,Academics accepting old work of mathematicians,proofs,container
