Index,Clue,Solution,Spaced_Solution,gemma_predicted
72429,Old official partial to free verse,reeve,reeve,hidden word
117,Girl rejected in family rebellion,beryl,beryl,hidden word
42571,Some women's double confinement - insane!,sabine,sabine,hidden word
2975,Spoken for a large section,oral,oral,hidden word
83831,Live in red wellies?,dwell,dwell,hidden word
7214,"Each hoop, but only every other ring",echo,echo,hidden word
99967,Get a bit of a sore back tossing it?,caber,caber,hidden word
103162,Type of verse inspired by daemon or Hymen,monorhyme,monorhyme,hidden word
67248,Aspect of Spain no fiction's written about,facet,facet,hidden word
63174,The black arts conceal trap that's attractive,magnetic,magnetic,hidden word
89346,Some auxiliary bones,ilia,ilia,hidden word
5419,Core of expedition is a long way off,afar,afar,hidden word
14639,Playboy stereotypically gobbling reputed aphrodisiac,oyster,oyster,hidden word
36567,PM essentially disappointed England,eden,eden,hidden word
11951,What Italians drink in the Mestre: Galliano,strega,strega,hidden word
138851,"Only a proportion taken from income, a tax evaded is a dangerous thing",meataxe,meat axe,hidden word
35660,Stop some French potatoes,deter,deter,hidden word
37300,A contribution to please lively art supporter,easel,easel,hidden word
124771,"Odd characters in the land of Schiller, the elegist?",gray,gray,hidden word
38332,"Salts' place - in the deep, somewhere",epsom,epsom,hidden word
11554,Every real Puritan regularly offered praise to God,alleluia,alleluia,hidden word
50913,Peninsula of African country with no western boundary,iberia,iberia,hidden word
31019,Flower sometimes needlessly gilded,lily,lily,hidden word
126046,Edges away from very pale woman,she,she,hidden word
74527,Part of speech that's authentic,echt,echt,hidden word
98579,"Like some numbers, within moderation always",rational,rational,hidden word
91974,Blades trio Arsenal bound,oars,oars,hidden word
75583,He rings bell running through Essex to Norfolk,sexton,sexton,hidden word
58154,Albatrosses both taking turn to incubate brood,obsess,obsess,hidden word
5047,Part of Roman villa block,anvil,anvil,hidden word
1876,Deity some see as a tyrant,satyr,satyr,hidden word
141168,"Round openings with no actual fit, regularly",oculi,oculi,hidden word
6095,Boundaries some defend successfully,ends,ends,hidden word
