Index,Clue,Solution,Spaced_Solution,gemma_predicted,gpt_solved_answer
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,dulcimer,anagram,BALLOONED,0
113355,ATM George misused as source of money,mortgagee,mortgagee,anagram,MORTGAGE,0
142129,Motor enthusiast modifies other pedal,petrolhead,petrolhead,anagram,AUTOMOBILE,0
12866,See animal go wild in the bush,magnolia,magnolia,anagram,GOBANANA,0
86325,Figure seizing hotel involved in fund-raiser,telethon,telethon,anagram,FIGURINE,0
41678,The old racer racing around Italy?,charioteer,charioteer,anagram,ITALIANO,0
123534,Double up refashioning citadel walls,duplicate,duplicate,anagram,DOUBLETS,0
39018,"Rising artist, ignoring society, matured",aged,aged,anagram,GROWN,0
137241,Brilliance of one of Elgar's Variations,glare,glare,anagram,GLORY,0
71008,Think of son being corrupted in drink,consider,consider,anagram,CONCEIVE,0
121272,Name and return address in America,dub,dub,anagram,NAM,0
60674,Where one is involved as an ex-president,eisenhower,eisenhower,anagram,WATERGATE,0
48018,"Unusually irate, not otherwise disposed to attack",tearinto,tear into,anagram,EASY ME,0
90180,Trophy girls tricked into serious predicament,sorryplight,sorry plight,anagram,DOLL HOUSE,0
111136,Assembled tediously for amateurish work,doityourself,do it yourself,anagram,TO DO LIST,0
3711,Go really wild with a symbolic tale,allegory,allegory,anagram,ALLEGORY,1
11494,Listened when eccentric signed on,enlisted,enlisted,anagram,HEARDING,0
85137,Whom beer affected should keep away from it!,homebrew,home brew,anagram,BEER MUG,0
140113,He scripted nice revised report of spoken words,indirectspeech,indirect speech,anagram,DIALOGUE,0
54535,Morse's last case stirring up memories,evocative,evocative,anagram,MEMORIES,0
24929,Night is unusual source of enlightenment,insight,insight,anagram,NIGHTY,0
95281,"""Country mania"" is touring round in the same place",namibia,namibia,anagram,ANAGRAM,0
101319,Lionesses becoming silent,noiseless,noiseless,anagram,SILENTLY,0
1091,"""Caine Mutiny"" originally flickered here",cinema,cinema,anagram,CINEMA,1
41246,Bird's heavy defeat overturned,linnet,linnet,anagram,BIRDIE,0
83563,Cast supporting the Queen's Speech?,thrown,thrown,anagram,CASTLE,0
