Index,Clue,Solution,Spaced_Solution,gemma_predicted
77103,"In Germany, thin girls can eat this!",anything,anything,container
42357,Coarse-sounding son's in the wilderness,dessert,dessert,container
1059,The fellow apprehending one felon,thief,thief,container
21744,Last year's leaders entertained by regular journalist,evelyn,evelyn,container
3077,Butcher breaks bent pan,skillet,skillet,container
39603,Bend down to king in Chesterfield,crouch,crouch,container
116403,"In the chair, restraining Democrat under influence of drugs",sedated,sedated,container
139673,Pays for food after treasurer cleared out,treats,treats,container
8288,Feel sorry when soldiers get to guard Roundhead,regret,regret,container
30362,Temporary work welcomed by young boxer?,popup,pop up,container
124142,Country girl briefly eating duck,laos,laos,container
25715,Noble's wayward cousin hugged by retired transvestite,viscount,viscount,container
132156,Range of dumps accommodating virile blokes by day,themendips,the mendips,container
46777,Country song about American getting back from Detroit,austria,austria,container
56548,Fooled by absorbing Resistance story,hardtimes,hard times,container
107238,Bar containing drop of liquid comfort,salve,salve,container
63341,Heartlessness and senselessness about olfactory offensiveness,inhumanity,inhumanity,container
139462,"Began turning up carrying cargo, initially of spoils",detracts,detracts,container
43900,Identifying pattern that's bound to squash one irritant,signature,signature,container
17405,Vivacity normal in retreating deer,sparkle,sparkle,container
89801,Hood hardly ever appears over nothing,scarface,scarface,container
114209,"Discreet, caught in bad fault",tactful,tactful,container
115851,Struggle across line to finish,complete,complete,container
37022,Wrinkles between features in a premature state,earliness,earliness,container
101215,Come down to earth about p-payment for a sweet,toffeeapple,toffee apple,container
13238,Motorists seen in distance - it's inexplicable,miracle,miracle,container
26545,I mostly remain in agreement in believing in God,deistical,deistical,container
112205,Displace journalist that has complaint about energy,edgeout,edge out,container
4871,Charming and delicate female seen in reflection of river,elfin,elfin,container
54355,"Writer, a good man, seen inside foreign restaurant",bistro,bistro,container
549,Pain beginning to hurt in one,ache,ache,container
100634,Poem about mountains given top grade -- sparkling stuff,orangeade,orangeade,container
131081,"In a maddening way, shrewd Brown standing inside",frustratingly,frustratingly,container
31731,"Wild duck swallows English dram, if dry",teetotal,teetotal,container
39851,He fails to show up the defect in the return pipe,defaulter,defaulter,container
91842,Spending allowance to be cut in move,budge,budge,container
90127,Giving medical treatment to stray pet held,dosing,dosing,container
43685,Player with no time for a bet,fluter,fluter,container
134058,Harry and Henry nabbed by someone not in uniform,chivvy,chivvy,container
120426,Prime made out to include another,seven,seven,container
44396,No time for Mister Scrooge,miser,miser,container
85944,Biblical dupe keeping bridge players up with sense of foreboding,unease,unease,container
102268,Strangler with soldiers going around in band,garroter,garroter,container
138620,Manual actions in service taking a long time,massages,massages,container
26494,"European composer, in recital, has things to do",checklist,checklist,container
81195,"Flash not very bright, introducing copper for a bit",modicum,modicum,container
141319,Radioactive element in preservative for good health,salut,salut,container
14311,Plant with a sting stuck in the chimney,laburnum,laburnum,container
36078,"Soldier's gear, which stays at home",tinhat,tin hat,container
119078,"Time off, stuff punctuated by irregular pay",gapyear,gap year,container
93033,Record claiming uranium is brownish-grey,taupe,taupe,container
88134,Wolf circling eastern Galloway?,george,george,container
58772,"Hundreds pocketed by accountants, the rotters!",cads,cads,container
87361,Heartless Shakespeare heroine keeping beret for a head,percapita,per capita,container
116622,Ruled measure government introduced must be reversed,reigned,reigned,container
21476,"Engaged, that's the outcome about me and a girl",enmeshed,enmeshed,container
128290,Tough solidity for road transport crossing a bit of rail track,burliness,burliness,container
31476,Artist in car skirting ancient city,seurat,seurat,container
36592,Male child consumes duck quickly,soon,soon,container
83799,Vehicles boy goes in are always late,cadavers,cadavers,container
28350,Best food Mike's brother found in the continent,ambrosia,ambrosia,container
37285,Like supporter at home holding a kind of sign inside boundary,infavour,in favour,container
29221,"Poet's dawn air ""threaded with gold""",aurora,aurora,container
100999,Dessert like jelly seen around the globe,sorbet,sorbet,container
198,Fend off leader of pirates in film,repel,repel,container
38797,English general accepts tax raise,elevate,elevate,container
77301,Gets the dog and looks around,secures,secures,container
135945,Tubes bringing a form of medication to stop decay,capillaries,capillaries,container
111629,Criminals returning so as to be split in opposing,cosanostra,cosa nostra,container
7600,Left holding baby after this,labour,labour,container
10326,Lousiest material editor's chucked out,worst,worst,container
105900,Not a street where things happen,venue,venue,container
118322,"Cajole alien, within reason",getround,get round,container
