Index,Clue,Solution,gemma_predicted,Spaced_Solution,gemma_solved_answer
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,anagram,dulcimer,DULCIMER,1
113355,ATM George misused as source of money,mortgagee,anagram,mortgagee,MORTGAGEE,1
142129,Motor enthusiast modifies other pedal,petrolhead,anagram,petrolhead,PETROLHEAD,1
12866,See animal go wild in the bush,magnolia,anagram,magnolia,MAGNOLIA,1
86325,Figure seizing hotel involved in fund-raiser,telethon,anagram,telethon,HYDRANT,0
41678,The old racer racing around Italy?,charioteer,anagram,charioteer,CHARIOTEER,1
123534,Double up refashioning citadel walls,duplicate,anagram,duplicate,DUPLICATE,1
39018,"Rising artist, ignoring society, matured",aged,anagram,aged,AGED,1
137241,Brilliance of one of Elgar's Variations,glare,anagram,glare,GLARE,1
71008,Think of son being corrupted in drink,consider,anagram,consider,CONSIDER,1
121272,Name and return address in America,dub,anagram,dub,NED,0
60674,Where one is involved as an ex-president,eisenhower,anagram,eisenhower,EXPERIENCE,0
48018,"Unusually irate, not otherwise disposed to attack",tearinto,anagram,tear into,TEAR INTO,1
90180,Trophy girls tricked into serious predicament,sorryplight,anagram,sorry plight,TIGHT CORNER,0
111136,Assembled tediously for amateurish work,doityourself,anagram,do it yourself,BY THE BOOK,0
3711,Go really wild with a symbolic tale,allegory,anagram,allegory,ALLEGORY,1
11494,Listened when eccentric signed on,enlisted,anagram,enlisted,ATTENDED,0
85137,Whom beer affected should keep away from it!,homebrew,anagram,home brew,HOME BREW,1
140113,He scripted nice revised report of spoken words,indirectspeech,anagram,indirect speech,SCRIPTION VOICE,0
54535,Morse's last case stirring up memories,evocative,anagram,evocative,SOUVENIRS,0
15496,"Dim clue reset by compiler finally for ""cimbalom""",dulcimer,anagram,dulcimer,DULCIMER,1
113355,ATM George misused as source of money,mortgagee,anagram,mortgagee,MORTGAGEE,1
142129,Motor enthusiast modifies other pedal,petrolhead,anagram,petrolhead,PETROLHEAD,1
12866,See animal go wild in the bush,magnolia,anagram,magnolia,SAVANNAS,0
86325,Figure seizing hotel involved in fund-raiser,telethon,anagram,telethon,SHAKEDOW,0
41678,The old racer racing around Italy?,charioteer,anagram,charioteer,CHARIOTEER,1
123534,Double up refashioning citadel walls,duplicate,anagram,duplicate,DUPLICATE,1
39018,"Rising artist, ignoring society, matured",aged,anagram,aged,AGED,1
137241,Brilliance of one of Elgar's Variations,glare,anagram,glare,GLARE,1
71008,Think of son being corrupted in drink,consider,anagram,consider,CONSIDER,1
121272,Name and return address in America,dub,anagram,dub,EVA,0
60674,Where one is involved as an ex-president,eisenhower,anagram,eisenhower,PRECEDENCE,0
48018,"Unusually irate, not otherwise disposed to attack",tearinto,anagram,tear into,IRON-TATE,0
90180,Trophy girls tricked into serious predicament,sorryplight,anagram,sorry plight,TIGHT CORNER,0
111136,Assembled tediously for amateurish work,doityourself,anagram,do it yourself,DO IT YOURSELF,1
3711,Go really wild with a symbolic tale,allegory,anagram,allegory,ALLEGORY,1
11494,Listened when eccentric signed on,enlisted,anagram,enlisted,HARKENED,0
85137,Whom beer affected should keep away from it!,homebrew,anagram,home brew,HOME BREW,1
140113,He scripted nice revised report of spoken words,indirectspeech,anagram,indirect speech,VERBATIM RECORD,0
54535,Morse's last case stirring up memories,evocative,anagram,evocative,REMINISCE,0
